library	index_in_dat	sample	sample_accession	source	library_type	population	latitude	longitude	region	sex	coverage	freemix	capmq	insert_size_average	array_non_reference_discordance	library_alias_ENA
HGDP01382	3957	HGDP01382	ERS474582	sanger	PCRfree	Adygei	44.0	39.0	EUROPE	F	34.32	0.01216	20	442.5	0.098101	
HGDP01383	3958	HGDP01383	ERS474583	sanger	PCR	Adygei	44.0	39.0	EUROPE	M	33.08	0.00036	34	366.6	0.045849	11318153.0
HGDP01387	3962	HGDP01387	ERS474587	sanger	PCRfree	Adygei	44.0	39.0	EUROPE	F	35.57	0.01453	20	440.5	0.057146	
LP6005441-DNA_A01	3981	HGDP01402	ERS1042143	sgdp	PCRfree	Adygei	44.0	39.0	EUROPE	M	41.6	0.00012	39	277.4	0.030546	
HGDP00068	3196	HGDP00068	ERS474541	sanger	PCRfree	Balochi	30.5	66.5	CENTRAL_SOUTH_ASIA	M	39.64	0.0076	21	426.2	0.037615	
HGDP00086	3204	HGDP00086	ERS474549	sanger	PCRfree	Balochi	30.5	66.5	CENTRAL_SOUTH_ASIA	M	37.7	0.00913	20	437.2	0.050066	
HGDP00052	3188	HGDP00052	ERS474532	sanger	PCRfree	Balochi	30.5	66.5	CENTRAL_SOUTH_ASIA	M	30.39	0.01403	20	401.7	0.096225	
HGDP00092	3206	HGDP00092	ERS474552	sanger	PCRfree	Balochi	30.5	66.5	CENTRAL_SOUTH_ASIA	M	35.28	0.01579	20	400.5	0.084691	
HGDP01415	3977	HGDP01415	ERS474098	sanger	PCR	BantuKenya	-3.0	37.0	AFRICA	M	32.72	0.00056	33	499.0	0.098185	11140653.0
HGDP01405	3971	HGDP01405	ERS474092	sanger	PCR	BantuKenya	-3.0	37.0	AFRICA	M	34.59	0.00041	34	490.5	0.11046	11140648.0
LP6005441-DNA_B02	3991	HGDP01414	ERS1042146	sgdp	PCRfree	BantuKenya	-3.0	37.0	AFRICA	F	37.01	0.00016	37	298.6	0.088877	
LP6005443-DNA_A01	4069	HGDP01417	ERS1255064	sgdp	PCRfree	BantuKenya	-3.0	37.0	AFRICA	M	48.35	0.00073	31	308.7	0.097724	
HGDP00994	3733	HGDP00994	ERS474085	sanger	PCR	BantuSouthAfrica	-25.6	24.25	AFRICA	M	33.6	0.00028	36	482.6	0.115181	11140645.0
LP6005443-DNA_E02	4077	HGDP01028	ERS1255098	sgdp	PCRfree	BantuSouthAfrica	-25.6	24.25	AFRICA	M	44.76	0.00037	34	307.1	0.092456	
HGDP00993	3732	HGDP00993	ERS474084	sanger	PCR	BantuSouthAfrica	-25.6	24.25	AFRICA	M	34.85	0.00061	32	498.9	0.126248	11140644.0
LP6005443-DNA_G02	4084	HGDP01030	ERS1255115	sgdp	PCRfree	BantuSouthAfrica	-25.6	24.25	AFRICA	M	43.71	0.00207	26	305.2	0.111463	
HGDP01357	3935	HGDP01357	ERS474651	sanger	PCRfree	Basque	43.0	0.0	EUROPE	M	34.85	0.0083	21	425.2	0.051959	
HGDP01374	3949	HGDP01374	ERS474668	sanger	PCRfree	Basque	43.0	0.0	EUROPE	M	30.17	0.00763	21	422.9	0.065845	
HGDP01367	3943	HGDP01367	ERS474661	sanger	PCRfree	Basque	43.0	0.0	EUROPE	F	30.11	0.01109	20	436.3	0.057797	
HGDP01358	3936	HGDP01358	ERS474652	sanger	PCRfree	Basque	43.0	0.0	EUROPE	M	36.59	0.00899	20	441.8	0.045611	
HGDP00651	3478	HGDP00651	ERS474868	sanger	PCRfree	Bedouin	31.0	35.0	MIDDLE_EAST	F	31.39	0.00701	22	449.5	0.055302	
HGDP00636	3464	HGDP00636	ERS474853	sanger	PCRfree	Bedouin	31.0	35.0	MIDDLE_EAST	F	37.5	0.00722	21	433.8	0.049356	
HGDP00637	3465	HGDP00637	ERS474854	sanger	PCRfree	Bedouin	31.0	35.0	MIDDLE_EAST	F	34.25	0.01208	20	439.1	0.048313	
LP6005441-DNA_E02	4023	HGDP00616	ERS1042237	sgdp	PCRfree	Bedouin	31.0	35.0	MIDDLE_EAST	M	43.49	0.0012	29	287.9	0.040846	
HGDP01171	3802	HGDP01171	ERS474698	sanger	PCRfree	BergamoItalian	46.0	10.0	EUROPE	F	34.75	0.00421	24	452.7	0.032724	
HGDP01149	3791	HGDP01149	ERS474691	sanger	PCRfree	BergamoItalian	46.0	10.0	EUROPE	M	38.97	0.00933	20	437.6		
LP6005441-DNA_A06	3985	HGDP01153	ERS1042183	sgdp	PCRfree	BergamoItalian	46.0	10.0	EUROPE	M	68.66	0.00017	37	282.1	0.033151	
LP6005441-DNA_B06	3995	HGDP01172	ERS1042138	sgdp	PCRfree	BergamoItalian	46.0	10.0	EUROPE	F	79.65	0.0	60	282.3	0.036081	
