sample	maf_bin	num_correct	num_wrong	num_total	accuracy	continent
HGDP00001	[0.01, 0.03)	9055	244	9299	0.9737606194214432	CENTRAL_SOUTH_ASIA
HGDP00001	[0.03, 0.06)	10045	274	10319	0.9734470394418063	CENTRAL_SOUTH_ASIA
HGDP00001	[0.06, 0.1)	10169	282	10451	0.9730169361783562	CENTRAL_SOUTH_ASIA
HGDP00001	[0.1, 0.18)	12532	366	12898	0.9716235075205458	CENTRAL_SOUTH_ASIA
HGDP00001	[0.18, 0.3)	11121	547	11668	0.9531196434693178	CENTRAL_SOUTH_ASIA
HGDP00001	[0.3, 0.51)	10279	773	11052	0.9300579080709374	CENTRAL_SOUTH_ASIA
HGDP00021	[0.01, 0.03)	9066	233	9299	0.9749435423163781	CENTRAL_SOUTH_ASIA
HGDP00021	[0.03, 0.06)	10090	229	10319	0.9778079271247214	CENTRAL_SOUTH_ASIA
HGDP00021	[0.06, 0.1)	10184	267	10451	0.9744522055305712	CENTRAL_SOUTH_ASIA
HGDP00021	[0.1, 0.18)	12484	414	12898	0.9679020003101256	CENTRAL_SOUTH_ASIA
HGDP00021	[0.18, 0.3)	11060	608	11668	0.947891669523483	CENTRAL_SOUTH_ASIA
HGDP00021	[0.3, 0.51)	10382	670	11052	0.9393774882374231	CENTRAL_SOUTH_ASIA
HGDP00023	[0.01, 0.03)	9113	186	9299	0.9799978492311001	CENTRAL_SOUTH_ASIA
HGDP00023	[0.03, 0.06)	10089	230	10319	0.9777110185095454	CENTRAL_SOUTH_ASIA
HGDP00023	[0.06, 0.1)	10237	214	10451	0.9795234905750646	CENTRAL_SOUTH_ASIA
HGDP00023	[0.1, 0.18)	12396	502	12898	0.9610792370910218	CENTRAL_SOUTH_ASIA
HGDP00023	[0.18, 0.3)	11130	538	11668	0.9538909838875557	CENTRAL_SOUTH_ASIA
HGDP00023	[0.3, 0.51)	10261	791	11052	0.9284292435758233	CENTRAL_SOUTH_ASIA
HGDP00039	[0.01, 0.03)	9096	203	9299	0.9781696956662007	CENTRAL_SOUTH_ASIA
HGDP00039	[0.03, 0.06)	10140	179	10319	0.9826533578835158	CENTRAL_SOUTH_ASIA
HGDP00039	[0.06, 0.1)	10194	257	10451	0.9754090517653813	CENTRAL_SOUTH_ASIA
HGDP00039	[0.1, 0.18)	12560	338	12898	0.9737943867266243	CENTRAL_SOUTH_ASIA
HGDP00039	[0.18, 0.3)	11177	491	11668	0.9579190949605759	CENTRAL_SOUTH_ASIA
HGDP00039	[0.3, 0.51)	10492	560	11052	0.9493304379297864	CENTRAL_SOUTH_ASIA
HGDP00052	[0.01, 0.03)	9103	196	9299	0.9789224647811593	CENTRAL_SOUTH_ASIA
HGDP00052	[0.03, 0.06)	10129	190	10319	0.981587363116581	CENTRAL_SOUTH_ASIA
HGDP00052	[0.06, 0.1)	10132	319	10451	0.9694766051095589	CENTRAL_SOUTH_ASIA
