sample	maf_bin	num_correct	num_wrong	num_total	accuracy	continent
HGDP00001	[0.01, 0.03)	9085	214	9299	0.9769867727712658	CENTRAL_SOUTH_ASIA
HGDP00001	[0.03, 0.06)	10085	234	10319	0.9773233840488419	CENTRAL_SOUTH_ASIA
HGDP00001	[0.06, 0.1)	10231	220	10451	0.9789493828341785	CENTRAL_SOUTH_ASIA
HGDP00001	[0.1, 0.18)	12565	333	12898	0.9741820437277097	CENTRAL_SOUTH_ASIA
HGDP00001	[0.18, 0.3)	11240	428	11668	0.9633184778882413	CENTRAL_SOUTH_ASIA
HGDP00001	[0.3, 0.51)	10389	663	11052	0.9400108577633007	CENTRAL_SOUTH_ASIA
HGDP00021	[0.01, 0.03)	9082	217	9299	0.9766641574362834	CENTRAL_SOUTH_ASIA
HGDP00021	[0.03, 0.06)	10090	229	10319	0.9778079271247214	CENTRAL_SOUTH_ASIA
HGDP00021	[0.06, 0.1)	10201	250	10451	0.9760788441297483	CENTRAL_SOUTH_ASIA
HGDP00021	[0.1, 0.18)	12528	370	12898	0.9713133819196774	CENTRAL_SOUTH_ASIA
HGDP00021	[0.18, 0.3)	11148	520	11668	0.9554336647240316	CENTRAL_SOUTH_ASIA
HGDP00021	[0.3, 0.51)	10413	639	11052	0.9421824104234527	CENTRAL_SOUTH_ASIA
HGDP00023	[0.01, 0.03)	9104	195	9299	0.9790300032261533	CENTRAL_SOUTH_ASIA
HGDP00023	[0.03, 0.06)	10098	221	10319	0.9785831960461285	CENTRAL_SOUTH_ASIA
HGDP00023	[0.06, 0.1)	10271	180	10451	0.9827767677734188	CENTRAL_SOUTH_ASIA
HGDP00023	[0.1, 0.18)	12564	334	12898	0.9741045123274926	CENTRAL_SOUTH_ASIA
HGDP00023	[0.18, 0.3)	11179	489	11668	0.9580905039424066	CENTRAL_SOUTH_ASIA
HGDP00023	[0.3, 0.51)	10365	687	11052	0.9378393051031487	CENTRAL_SOUTH_ASIA
HGDP00039	[0.01, 0.03)	9122	177	9299	0.9809656952360469	CENTRAL_SOUTH_ASIA
HGDP00039	[0.03, 0.06)	10172	147	10319	0.9857544335691443	CENTRAL_SOUTH_ASIA
HGDP00039	[0.06, 0.1)	10250	201	10451	0.9807673906803177	CENTRAL_SOUTH_ASIA
HGDP00039	[0.1, 0.18)	12543	355	12898	0.9724763529229338	CENTRAL_SOUTH_ASIA
HGDP00039	[0.18, 0.3)	11197	471	11668	0.9596331847788824	CENTRAL_SOUTH_ASIA
HGDP00039	[0.3, 0.51)	10593	459	11052	0.9584690553745928	CENTRAL_SOUTH_ASIA
HGDP00052	[0.01, 0.03)	9114	185	9299	0.9801053876760942	CENTRAL_SOUTH_ASIA
HGDP00052	[0.03, 0.06)	10118	201	10319	0.9805213683496463	CENTRAL_SOUTH_ASIA
HGDP00052	[0.06, 0.1)	10153	298	10451	0.97148598220266	CENTRAL_SOUTH_ASIA
HGDP00052	[0.1, 0.18)	12570	328	12898	0.9745697007287951	CENTRAL_SOUTH_ASIA
HGDP00052	[0.18, 0.3)	11197	471	11668	0.9596331847788824	CENTRAL_SOUTH_ASIA
HGDP00052	[0.3, 0.51)	10275	777	11052	0.9296959826275787	CENTRAL_SOUTH_ASIA
HGDP00068	[0.01, 0.03)	9145	154	9299	0.9834390794709108	CENTRAL_SOUTH_ASIA
HGDP00068	[0.03, 0.06)	10117	202	10319	0.9804244597344703	CENTRAL_SOUTH_ASIA
HGDP00068	[0.06, 0.1)	10257	194	10451	0.9814371830446847	CENTRAL_SOUTH_ASIA
HGDP00068	[0.1, 0.18)	12466	432	12898	0.966506435106218	CENTRAL_SOUTH_ASIA
HGDP00068	[0.18, 0.3)	11185	483	11668	0.9586047308878985	CENTRAL_SOUTH_ASIA
HGDP00068	[0.3, 0.51)	10505	547	11052	0.9505066956207021	CENTRAL_SOUTH_ASIA
HGDP00086	[0.01, 0.03)	9091	208	9299	0.9776320034412302	CENTRAL_SOUTH_ASIA
HGDP00086	[0.03, 0.06)	10064	255	10319	0.9752883031301482	CENTRAL_SOUTH_ASIA
HGDP00086	[0.06, 0.1)	10214	237	10451	0.9773227442350014	CENTRAL_SOUTH_ASIA
HGDP00086	[0.1, 0.18)	12521	377	12898	0.9707706621181579	CENTRAL_SOUTH_ASIA
HGDP00086	[0.18, 0.3)	11189	479	11668	0.9589475488515599	CENTRAL_SOUTH_ASIA
HGDP00086	[0.3, 0.51)	10560	492	11052	0.9554831704668838	CENTRAL_SOUTH_ASIA
HGDP00092	[0.01, 0.03)	9144	155	9299	0.9833315410259168	CENTRAL_SOUTH_ASIA
HGDP00092	[0.03, 0.06)	10184	135	10319	0.9869173369512549	CENTRAL_SOUTH_ASIA
HGDP00092	[0.06, 0.1)	10286	165	10451	0.9842120371256339	CENTRAL_SOUTH_ASIA
HGDP00092	[0.1, 0.18)	12608	290	12898	0.9775158939370445	CENTRAL_SOUTH_ASIA
HGDP00092	[0.18, 0.3)	11278	390	11668	0.9665752485430237	CENTRAL_SOUTH_ASIA
HGDP00092	[0.3, 0.51)	10471	581	11052	0.9474303293521534	CENTRAL_SOUTH_ASIA
HGDP00099	[0.01, 0.03)	9153	146	9299	0.9842993870308635	CENTRAL_SOUTH_ASIA
HGDP00099	[0.03, 0.06)	10186	133	10319	0.9871111541816068	CENTRAL_SOUTH_ASIA
HGDP00099	[0.06, 0.1)	10240	211	10451	0.9798105444455076	CENTRAL_SOUTH_ASIA
HGDP00099	[0.1, 0.18)	12617	281	12898	0.9782136765389983	CENTRAL_SOUTH_ASIA
HGDP00099	[0.18, 0.3)	11262	406	11668	0.9652039766883784	CENTRAL_SOUTH_ASIA
HGDP00099	[0.3, 0.51)	10541	511	11052	0.9537640246109301	CENTRAL_SOUTH_ASIA
HGDP00100	[0.01, 0.03)	9132	167	9299	0.9820410796859878	CENTRAL_SOUTH_ASIA
HGDP00100	[0.03, 0.06)	10172	147	10319	0.9857544335691443	CENTRAL_SOUTH_ASIA
HGDP00100	[0.06, 0.1)	10271	180	10451	0.9827767677734188	CENTRAL_SOUTH_ASIA
HGDP00100	[0.1, 0.18)	12558	340	12898	0.9736393239261901	CENTRAL_SOUTH_ASIA
HGDP00100	[0.18, 0.3)	11224	444	11668	0.9619472060335962	CENTRAL_SOUTH_ASIA
HGDP00100	[0.3, 0.51)	10366	686	11052	0.9379297864639884	CENTRAL_SOUTH_ASIA
HGDP00105	[0.01, 0.03)	9115	184	9299	0.9802129261210882	CENTRAL_SOUTH_ASIA
HGDP00105	[0.03, 0.06)	10111	208	10319	0.9798430080434151	CENTRAL_SOUTH_ASIA
HGDP00105	[0.06, 0.1)	10204	247	10451	0.9763658980001914	CENTRAL_SOUTH_ASIA
HGDP00105	[0.1, 0.18)	12519	379	12898	0.9706155993177237	CENTRAL_SOUTH_ASIA
HGDP00105	[0.18, 0.3)	11114	554	11668	0.9525197120329105	CENTRAL_SOUTH_ASIA
HGDP00105	[0.3, 0.51)	10478	574	11052	0.9480636988780311	CENTRAL_SOUTH_ASIA
HGDP00118	[0.01, 0.03)	9140	159	9299	0.9829013872459404	CENTRAL_SOUTH_ASIA
HGDP00118	[0.03, 0.06)	10183	136	10319	0.9868204283360791	CENTRAL_SOUTH_ASIA
HGDP00118	[0.06, 0.1)	10244	207	10451	0.9801932829394316	CENTRAL_SOUTH_ASIA
HGDP00118	[0.1, 0.18)	12529	369	12898	0.9713909133198946	CENTRAL_SOUTH_ASIA
HGDP00118	[0.18, 0.3)	11101	567	11668	0.9514055536510113	CENTRAL_SOUTH_ASIA
HGDP00118	[0.3, 0.51)	10493	559	11052	0.9494209192906261	CENTRAL_SOUTH_ASIA
HGDP00131	[0.01, 0.03)	9104	195	9299	0.9790300032261533	CENTRAL_SOUTH_ASIA
HGDP00131	[0.03, 0.06)	10162	157	10319	0.9847853474173854	CENTRAL_SOUTH_ASIA
HGDP00131	[0.06, 0.1)	10253	198	10451	0.9810544445507607	CENTRAL_SOUTH_ASIA
HGDP00131	[0.1, 0.18)	12592	306	12898	0.9762753915335711	CENTRAL_SOUTH_ASIA
HGDP00131	[0.18, 0.3)	11189	479	11668	0.9589475488515599	CENTRAL_SOUTH_ASIA
HGDP00131	[0.3, 0.51)	10521	531	11052	0.9519543973941368	CENTRAL_SOUTH_ASIA
HGDP00141	[0.01, 0.03)	9090	209	9299	0.9775244649962361	CENTRAL_SOUTH_ASIA
HGDP00141	[0.03, 0.06)	10059	260	10319	0.9748037600542688	CENTRAL_SOUTH_ASIA
HGDP00141	[0.06, 0.1)	10099	352	10451	0.9663190125346857	CENTRAL_SOUTH_ASIA
HGDP00141	[0.1, 0.18)	12590	308	12898	0.9761203287331369	CENTRAL_SOUTH_ASIA
HGDP00141	[0.18, 0.3)	11179	489	11668	0.9580905039424066	CENTRAL_SOUTH_ASIA
HGDP00141	[0.3, 0.51)	10467	585	11052	0.9470684039087948	CENTRAL_SOUTH_ASIA
HGDP00143	[0.01, 0.03)	9114	185	9299	0.9801053876760942	CENTRAL_SOUTH_ASIA
HGDP00143	[0.03, 0.06)	10130	189	10319	0.981684271731757	CENTRAL_SOUTH_ASIA
HGDP00143	[0.06, 0.1)	10247	204	10451	0.9804803368098747	CENTRAL_SOUTH_ASIA
HGDP00143	[0.1, 0.18)	12528	370	12898	0.9713133819196774	CENTRAL_SOUTH_ASIA
HGDP00143	[0.18, 0.3)	11221	447	11668	0.9616900925608501	CENTRAL_SOUTH_ASIA
HGDP00143	[0.3, 0.51)	10504	548	11052	0.9504162142598624	CENTRAL_SOUTH_ASIA
HGDP00151	[0.01, 0.03)	9171	128	9299	0.986235079040757	CENTRAL_SOUTH_ASIA
HGDP00151	[0.03, 0.06)	10195	124	10319	0.9879833317181898	CENTRAL_SOUTH_ASIA
HGDP00151	[0.06, 0.1)	10345	106	10451	0.9898574299110133	CENTRAL_SOUTH_ASIA
HGDP00151	[0.1, 0.18)	12703	195	12898	0.9848813769576679	CENTRAL_SOUTH_ASIA
HGDP00151	[0.18, 0.3)	11360	308	11668	0.9736030167980803	CENTRAL_SOUTH_ASIA
HGDP00151	[0.3, 0.51)	10645	407	11052	0.9631740861382555	CENTRAL_SOUTH_ASIA
