sample	maf_bin	num_correct	num_wrong	num_total	accuracy	continent
HGDP00001	[0.01, 0.03)	9045	254	9299	0.9726852349715023	CENTRAL_SOUTH_ASIA
HGDP00001	[0.03, 0.06)	10065	254	10319	0.9753852117453241	CENTRAL_SOUTH_ASIA
HGDP00001	[0.06, 0.1)	10171	280	10451	0.9732083054253181	CENTRAL_SOUTH_ASIA
HGDP00001	[0.1, 0.18)	12461	437	12898	0.9661187781051326	CENTRAL_SOUTH_ASIA
HGDP00001	[0.18, 0.3)	11054	614	11668	0.9473774425779911	CENTRAL_SOUTH_ASIA
HGDP00001	[0.3, 0.51)	10208	844	11052	0.923633731451321	CENTRAL_SOUTH_ASIA
HGDP00021	[0.01, 0.03)	9070	229	9299	0.9753736960963545	CENTRAL_SOUTH_ASIA
HGDP00021	[0.03, 0.06)	10106	213	10319	0.9793584649675356	CENTRAL_SOUTH_ASIA
HGDP00021	[0.06, 0.1)	10225	226	10451	0.9783752750932925	CENTRAL_SOUTH_ASIA
HGDP00021	[0.1, 0.18)	12469	429	12898	0.9667390293068693	CENTRAL_SOUTH_ASIA
HGDP00021	[0.18, 0.3)	11073	595	11668	0.9490058279053822	CENTRAL_SOUTH_ASIA
HGDP00021	[0.3, 0.51)	10458	594	11052	0.9462540716612378	CENTRAL_SOUTH_ASIA
HGDP00023	[0.01, 0.03)	9109	190	9299	0.9795676954511238	CENTRAL_SOUTH_ASIA
HGDP00023	[0.03, 0.06)	10071	248	10319	0.9759666634363795	CENTRAL_SOUTH_ASIA
HGDP00023	[0.06, 0.1)	10261	190	10451	0.9818199215386088	CENTRAL_SOUTH_ASIA
HGDP00023	[0.1, 0.18)	12518	380	12898	0.9705380679175066	CENTRAL_SOUTH_ASIA
HGDP00023	[0.18, 0.3)	11229	439	11668	0.9623757284881728	CENTRAL_SOUTH_ASIA
HGDP00023	[0.3, 0.51)	10368	684	11052	0.9381107491856677	CENTRAL_SOUTH_ASIA
HGDP00039	[0.01, 0.03)	9104	195	9299	0.9790300032261533	CENTRAL_SOUTH_ASIA
HGDP00039	[0.03, 0.06)	10135	184	10319	0.9821688148076364	CENTRAL_SOUTH_ASIA
HGDP00039	[0.06, 0.1)	10209	242	10451	0.9768443211175964	CENTRAL_SOUTH_ASIA
HGDP00039	[0.1, 0.18)	12468	430	12898	0.9666614979066522	CENTRAL_SOUTH_ASIA
HGDP00039	[0.18, 0.3)	11150	518	11668	0.9556050737058622	CENTRAL_SOUTH_ASIA
HGDP00039	[0.3, 0.51)	10474	578	11052	0.9477017734346724	CENTRAL_SOUTH_ASIA
HGDP00052	[0.01, 0.03)	9095	204	9299	0.9780621572212066	CENTRAL_SOUTH_ASIA
HGDP00052	[0.03, 0.06)	10102	217	10319	0.9789708305068321	CENTRAL_SOUTH_ASIA
HGDP00052	[0.06, 0.1)	10148	303	10451	0.971007559085255	CENTRAL_SOUTH_ASIA
HGDP00052	[0.1, 0.18)	12513	385	12898	0.9701504109164212	CENTRAL_SOUTH_ASIA
HGDP00052	[0.18, 0.3)	11146	522	11668	0.9552622557422009	CENTRAL_SOUTH_ASIA
HGDP00052	[0.3, 0.51)	10297	755	11052	0.9316865725660514	CENTRAL_SOUTH_ASIA
HGDP00068	[0.01, 0.03)	9128	171	9299	0.9816109259060114	CENTRAL_SOUTH_ASIA
HGDP00068	[0.03, 0.06)	10116	203	10319	0.9803275511192945	CENTRAL_SOUTH_ASIA
HGDP00068	[0.06, 0.1)	10241	210	10451	0.9799062290689886	CENTRAL_SOUTH_ASIA
HGDP00068	[0.1, 0.18)	12426	472	12898	0.9634051790975345	CENTRAL_SOUTH_ASIA
HGDP00068	[0.18, 0.3)	11169	499	11668	0.9572334590332533	CENTRAL_SOUTH_ASIA
HGDP00068	[0.3, 0.51)	10462	590	11052	0.9466159971045964	CENTRAL_SOUTH_ASIA
HGDP00086	[0.01, 0.03)	9093	206	9299	0.9778470803312184	CENTRAL_SOUTH_ASIA
HGDP00086	[0.03, 0.06)	10062	257	10319	0.9750944858997965	CENTRAL_SOUTH_ASIA
HGDP00086	[0.06, 0.1)	10199	252	10451	0.9758874748827864	CENTRAL_SOUTH_ASIA
HGDP00086	[0.1, 0.18)	12505	393	12898	0.9695301597146845	CENTRAL_SOUTH_ASIA
HGDP00086	[0.18, 0.3)	11169	499	11668	0.9572334590332533	CENTRAL_SOUTH_ASIA
HGDP00086	[0.3, 0.51)	10496	556	11052	0.9496923633731451	CENTRAL_SOUTH_ASIA
HGDP00092	[0.01, 0.03)	9135	164	9299	0.98236369502097	CENTRAL_SOUTH_ASIA
HGDP00092	[0.03, 0.06)	10140	179	10319	0.9826533578835158	CENTRAL_SOUTH_ASIA
HGDP00092	[0.06, 0.1)	10276	175	10451	0.9832551908908238	CENTRAL_SOUTH_ASIA
HGDP00092	[0.1, 0.18)	12573	325	12898	0.9748022949294465	CENTRAL_SOUTH_ASIA
HGDP00092	[0.18, 0.3)	11245	423	11668	0.963747000342818	CENTRAL_SOUTH_ASIA
HGDP00092	[0.3, 0.51)	10415	637	11052	0.9423633731451321	CENTRAL_SOUTH_ASIA
HGDP00099	[0.01, 0.03)	9147	152	9299	0.983654156360899	CENTRAL_SOUTH_ASIA
HGDP00099	[0.03, 0.06)	10162	157	10319	0.9847853474173854	CENTRAL_SOUTH_ASIA
HGDP00099	[0.06, 0.1)	10261	190	10451	0.9818199215386088	CENTRAL_SOUTH_ASIA
HGDP00099	[0.1, 0.18)	12543	355	12898	0.9724763529229338	CENTRAL_SOUTH_ASIA
HGDP00099	[0.18, 0.3)	11207	461	11668	0.9604902296880357	CENTRAL_SOUTH_ASIA
HGDP00099	[0.3, 0.51)	10418	634	11052	0.9426348172276511	CENTRAL_SOUTH_ASIA
HGDP00100	[0.01, 0.03)	9117	182	9299	0.9804280030110765	CENTRAL_SOUTH_ASIA
HGDP00100	[0.03, 0.06)	10167	152	10319	0.9852698904932649	CENTRAL_SOUTH_ASIA
HGDP00100	[0.06, 0.1)	10263	188	10451	0.9820112907855708	CENTRAL_SOUTH_ASIA
HGDP00100	[0.1, 0.18)	12509	389	12898	0.9698402853155528	CENTRAL_SOUTH_ASIA
HGDP00100	[0.18, 0.3)	11155	513	11668	0.9560335961604388	CENTRAL_SOUTH_ASIA
HGDP00100	[0.3, 0.51)	10351	701	11052	0.9365725660513934	CENTRAL_SOUTH_ASIA
HGDP00105	[0.01, 0.03)	9092	207	9299	0.9777395418862244	CENTRAL_SOUTH_ASIA
HGDP00105	[0.03, 0.06)	10100	219	10319	0.9787770132764803	CENTRAL_SOUTH_ASIA
HGDP00105	[0.06, 0.1)	10182	269	10451	0.9742608362836093	CENTRAL_SOUTH_ASIA
HGDP00105	[0.1, 0.18)	12463	435	12898	0.9662738409055668	CENTRAL_SOUTH_ASIA
HGDP00105	[0.18, 0.3)	11101	567	11668	0.9514055536510113	CENTRAL_SOUTH_ASIA
HGDP00105	[0.3, 0.51)	10374	678	11052	0.9386536373507057	CENTRAL_SOUTH_ASIA
HGDP00118	[0.01, 0.03)	9135	164	9299	0.98236369502097	CENTRAL_SOUTH_ASIA
HGDP00118	[0.03, 0.06)	10171	148	10319	0.9856575249539684	CENTRAL_SOUTH_ASIA
HGDP00118	[0.06, 0.1)	10230	221	10451	0.9788536982106976	CENTRAL_SOUTH_ASIA
HGDP00118	[0.1, 0.18)	12488	410	12898	0.9682121259109939	CENTRAL_SOUTH_ASIA
HGDP00118	[0.18, 0.3)	11067	601	11668	0.9484916009598903	CENTRAL_SOUTH_ASIA
HGDP00118	[0.3, 0.51)	10451	601	11052	0.9456207021353601	CENTRAL_SOUTH_ASIA
HGDP00131	[0.01, 0.03)	9095	204	9299	0.9780621572212066	CENTRAL_SOUTH_ASIA
HGDP00131	[0.03, 0.06)	10146	173	10319	0.9832348095745712	CENTRAL_SOUTH_ASIA
HGDP00131	[0.06, 0.1)	10208	243	10451	0.9767486364941154	CENTRAL_SOUTH_ASIA
HGDP00131	[0.1, 0.18)	12532	366	12898	0.9716235075205458	CENTRAL_SOUTH_ASIA
HGDP00131	[0.18, 0.3)	11200	468	11668	0.9598902982516284	CENTRAL_SOUTH_ASIA
HGDP00131	[0.3, 0.51)	10504	548	11052	0.9504162142598624	CENTRAL_SOUTH_ASIA
HGDP00141	[0.01, 0.03)	9074	225	9299	0.9758038498763308	CENTRAL_SOUTH_ASIA
HGDP00141	[0.03, 0.06)	10045	274	10319	0.9734470394418063	CENTRAL_SOUTH_ASIA
HGDP00141	[0.06, 0.1)	10074	377	10451	0.9639268969476605	CENTRAL_SOUTH_ASIA
HGDP00141	[0.1, 0.18)	12567	331	12898	0.9743371065281439	CENTRAL_SOUTH_ASIA
HGDP00141	[0.18, 0.3)	11159	509	11668	0.9563764141241001	CENTRAL_SOUTH_ASIA
HGDP00141	[0.3, 0.51)	10408	644	11052	0.9417300036192544	CENTRAL_SOUTH_ASIA
HGDP00143	[0.01, 0.03)	9098	201	9299	0.9783847725561888	CENTRAL_SOUTH_ASIA
HGDP00143	[0.03, 0.06)	10134	185	10319	0.9820719061924605	CENTRAL_SOUTH_ASIA
HGDP00143	[0.06, 0.1)	10238	213	10451	0.9796191751985456	CENTRAL_SOUTH_ASIA
HGDP00143	[0.1, 0.18)	12497	401	12898	0.9689099085129478	CENTRAL_SOUTH_ASIA
HGDP00143	[0.18, 0.3)	11139	529	11668	0.9546623243057937	CENTRAL_SOUTH_ASIA
HGDP00143	[0.3, 0.51)	10456	596	11052	0.9460731089395584	CENTRAL_SOUTH_ASIA
HGDP00151	[0.01, 0.03)	9170	129	9299	0.986127540595763	CENTRAL_SOUTH_ASIA
HGDP00151	[0.03, 0.06)	10198	121	10319	0.9882740575637174	CENTRAL_SOUTH_ASIA
HGDP00151	[0.06, 0.1)	10348	103	10451	0.9901444837814564	CENTRAL_SOUTH_ASIA
HGDP00151	[0.1, 0.18)	12677	221	12898	0.9828655605520236	CENTRAL_SOUTH_ASIA
HGDP00151	[0.18, 0.3)	11298	370	11668	0.9682893383613301	CENTRAL_SOUTH_ASIA
HGDP00151	[0.3, 0.51)	10594	458	11052	0.9585595367354325	CENTRAL_SOUTH_ASIA
HGDP00163	[0.01, 0.03)	9141	158	9299	0.9830089256909345	CENTRAL_SOUTH_ASIA
HGDP00163	[0.03, 0.06)	10172	147	10319	0.9857544335691443	CENTRAL_SOUTH_ASIA
HGDP00163	[0.06, 0.1)	10291	160	10451	0.984690460243039	CENTRAL_SOUTH_ASIA
HGDP00163	[0.1, 0.18)	12558	340	12898	0.9736393239261901	CENTRAL_SOUTH_ASIA
HGDP00163	[0.18, 0.3)	11202	466	11668	0.9600617072334591	CENTRAL_SOUTH_ASIA
HGDP00163	[0.3, 0.51)	10433	619	11052	0.9439920376402461	CENTRAL_SOUTH_ASIA
HGDP00179	[0.01, 0.03)	9101	198	9299	0.9787073878911711	CENTRAL_SOUTH_ASIA
HGDP00179	[0.03, 0.06)	10116	203	10319	0.9803275511192945	CENTRAL_SOUTH_ASIA
HGDP00179	[0.06, 0.1)	10265	186	10451	0.9822026600325328	CENTRAL_SOUTH_ASIA
HGDP00179	[0.1, 0.18)	12567	331	12898	0.9743371065281439	CENTRAL_SOUTH_ASIA
HGDP00179	[0.18, 0.3)	11179	489	11668	0.9580905039424066	CENTRAL_SOUTH_ASIA
HGDP00179	[0.3, 0.51)	10477	575	11052	0.9479732175171914	CENTRAL_SOUTH_ASIA
HGDP00197	[0.01, 0.03)	9131	168	9299	0.9819335412409936	CENTRAL_SOUTH_ASIA
HGDP00197	[0.03, 0.06)	10131	188	10319	0.9817811803469328	CENTRAL_SOUTH_ASIA
HGDP00197	[0.06, 0.1)	10302	149	10451	0.98574299110133	CENTRAL_SOUTH_ASIA
HGDP00197	[0.1, 0.18)	12559	339	12898	0.9737168553264072	CENTRAL_SOUTH_ASIA
HGDP00197	[0.18, 0.3)	11081	587	11668	0.9496914638327049	CENTRAL_SOUTH_ASIA
HGDP00197	[0.3, 0.51)	10359	693	11052	0.9372964169381107	CENTRAL_SOUTH_ASIA
HGDP00201	[0.01, 0.03)	9085	214	9299	0.9769867727712658	CENTRAL_SOUTH_ASIA
HGDP00201	[0.03, 0.06)	10092	227	10319	0.9780017443550731	CENTRAL_SOUTH_ASIA
HGDP00201	[0.06, 0.1)	10210	241	10451	0.9769400057410774	CENTRAL_SOUTH_ASIA
