sample	maf_bin	num_correct	num_wrong	num_total	accuracy	continent
HGDP00001	[0.01, 0.03)	9060	239	9299	0.9742983116464136	CENTRAL_SOUTH_ASIA
HGDP00001	[0.03, 0.06)	10114	205	10319	0.9801337338889428	CENTRAL_SOUTH_ASIA
HGDP00001	[0.06, 0.1)	10184	267	10451	0.9744522055305712	CENTRAL_SOUTH_ASIA
HGDP00001	[0.1, 0.18)	12562	336	12898	0.9739494495270584	CENTRAL_SOUTH_ASIA
HGDP00001	[0.18, 0.3)	11171	497	11668	0.957404868015084	CENTRAL_SOUTH_ASIA
HGDP00001	[0.3, 0.51)	10413	639	11052	0.9421824104234527	CENTRAL_SOUTH_ASIA
HGDP00021	[0.01, 0.03)	9089	210	9299	0.977416926551242	CENTRAL_SOUTH_ASIA
HGDP00021	[0.03, 0.06)	10070	249	10319	0.9758697548212036	CENTRAL_SOUTH_ASIA
HGDP00021	[0.06, 0.1)	10192	259	10451	0.9752176825184193	CENTRAL_SOUTH_ASIA
HGDP00021	[0.1, 0.18)	12389	509	12898	0.9605365172895023	CENTRAL_SOUTH_ASIA
HGDP00021	[0.18, 0.3)	11102	566	11668	0.9514912581419266	CENTRAL_SOUTH_ASIA
HGDP00021	[0.3, 0.51)	10433	619	11052	0.9439920376402461	CENTRAL_SOUTH_ASIA
HGDP00023	[0.01, 0.03)	9094	205	9299	0.9779546187762125	CENTRAL_SOUTH_ASIA
HGDP00023	[0.03, 0.06)	10099	220	10319	0.9786801046613044	CENTRAL_SOUTH_ASIA
HGDP00023	[0.06, 0.1)	10237	214	10451	0.9795234905750646	CENTRAL_SOUTH_ASIA
HGDP00023	[0.1, 0.18)	12464	434	12898	0.9663513723057838	CENTRAL_SOUTH_ASIA
HGDP00023	[0.18, 0.3)	11216	452	11668	0.9612615701062736	CENTRAL_SOUTH_ASIA
HGDP00023	[0.3, 0.51)	10405	647	11052	0.9414585595367354	CENTRAL_SOUTH_ASIA
HGDP00039	[0.01, 0.03)	9111	188	9299	0.979782772341112	CENTRAL_SOUTH_ASIA
HGDP00039	[0.03, 0.06)	10136	183	10319	0.9822657234228123	CENTRAL_SOUTH_ASIA
HGDP00039	[0.06, 0.1)	10206	245	10451	0.9765572672471534	CENTRAL_SOUTH_ASIA
HGDP00039	[0.1, 0.18)	12536	362	12898	0.9719336331214141	CENTRAL_SOUTH_ASIA
HGDP00039	[0.18, 0.3)	11327	341	11668	0.9707747685978745	CENTRAL_SOUTH_ASIA
HGDP00039	[0.3, 0.51)	10536	516	11052	0.9533116178067318	CENTRAL_SOUTH_ASIA
HGDP00052	[0.01, 0.03)	9120	179	9299	0.9807506183460587	CENTRAL_SOUTH_ASIA
HGDP00052	[0.03, 0.06)	10118	201	10319	0.9805213683496463	CENTRAL_SOUTH_ASIA
HGDP00052	[0.06, 0.1)	10135	316	10451	0.9697636589800019	CENTRAL_SOUTH_ASIA
HGDP00052	[0.1, 0.18)	12528	370	12898	0.9713133819196774	CENTRAL_SOUTH_ASIA
HGDP00052	[0.18, 0.3)	11180	488	11668	0.9581762084333219	CENTRAL_SOUTH_ASIA
HGDP00052	[0.3, 0.51)	10364	688	11052	0.9377488237423091	CENTRAL_SOUTH_ASIA
HGDP00068	[0.01, 0.03)	9143	156	9299	0.9832240025809227	CENTRAL_SOUTH_ASIA
HGDP00068	[0.03, 0.06)	10141	178	10319	0.9827502664986917	CENTRAL_SOUTH_ASIA
HGDP00068	[0.06, 0.1)	10286	165	10451	0.9842120371256339	CENTRAL_SOUTH_ASIA
HGDP00068	[0.1, 0.18)	12588	310	12898	0.9759652659327027	CENTRAL_SOUTH_ASIA
HGDP00068	[0.18, 0.3)	11234	434	11668	0.9628042509427494	CENTRAL_SOUTH_ASIA
HGDP00068	[0.3, 0.51)	10619	433	11052	0.9608215707564242	CENTRAL_SOUTH_ASIA
HGDP00086	[0.01, 0.03)	9102	197	9299	0.9788149263361652	CENTRAL_SOUTH_ASIA
HGDP00086	[0.03, 0.06)	10074	245	10319	0.9762573892819072	CENTRAL_SOUTH_ASIA
HGDP00086	[0.06, 0.1)	10236	215	10451	0.9794278059515836	CENTRAL_SOUTH_ASIA
