sample	maf_bin	num_correct	num_wrong	num_total	accuracy	continent
HGDP00001	[0.01, 0.03)	9090	209	9299	0.9775244649962361	CENTRAL_SOUTH_ASIA
HGDP00001	[0.03, 0.06)	10092	227	10319	0.9780017443550731	CENTRAL_SOUTH_ASIA
HGDP00001	[0.06, 0.1)	10246	205	10451	0.9803846521863937	CENTRAL_SOUTH_ASIA
HGDP00001	[0.1, 0.18)	12603	295	12898	0.9771282369359591	CENTRAL_SOUTH_ASIA
HGDP00001	[0.18, 0.3)	11246	422	11668	0.9638327048337333	CENTRAL_SOUTH_ASIA
HGDP00001	[0.3, 0.51)	10455	597	11052	0.9459826275787188	CENTRAL_SOUTH_ASIA
HGDP00021	[0.01, 0.03)	9083	216	9299	0.9767716958812775	CENTRAL_SOUTH_ASIA
HGDP00021	[0.03, 0.06)	10092	227	10319	0.9780017443550731	CENTRAL_SOUTH_ASIA
HGDP00021	[0.06, 0.1)	10192	259	10451	0.9752176825184193	CENTRAL_SOUTH_ASIA
HGDP00021	[0.1, 0.18)	12546	352	12898	0.972708947123585	CENTRAL_SOUTH_ASIA
HGDP00021	[0.18, 0.3)	11121	547	11668	0.9531196434693178	CENTRAL_SOUTH_ASIA
HGDP00021	[0.3, 0.51)	10388	664	11052	0.9399203764024611	CENTRAL_SOUTH_ASIA
HGDP00023	[0.01, 0.03)	9118	181	9299	0.9805355414560706	CENTRAL_SOUTH_ASIA
HGDP00023	[0.03, 0.06)	10136	183	10319	0.9822657234228123	CENTRAL_SOUTH_ASIA
HGDP00023	[0.06, 0.1)	10277	174	10451	0.9833508755143049	CENTRAL_SOUTH_ASIA
HGDP00023	[0.1, 0.18)	12553	345	12898	0.9732516669251047	CENTRAL_SOUTH_ASIA
HGDP00023	[0.18, 0.3)	11209	459	11668	0.9606616386698663	CENTRAL_SOUTH_ASIA
HGDP00023	[0.3, 0.51)	10511	541	11052	0.9510495837857401	CENTRAL_SOUTH_ASIA
HGDP00039	[0.01, 0.03)	9124	175	9299	0.981180772126035	CENTRAL_SOUTH_ASIA
HGDP00039	[0.03, 0.06)	10162	157	10319	0.9847853474173854	CENTRAL_SOUTH_ASIA
HGDP00039	[0.06, 0.1)	10259	192	10451	0.9816285522916467	CENTRAL_SOUTH_ASIA
HGDP00039	[0.1, 0.18)	12499	399	12898	0.9690649713133819	CENTRAL_SOUTH_ASIA
HGDP00039	[0.18, 0.3)	11289	379	11668	0.9675179979430922	CENTRAL_SOUTH_ASIA
HGDP00039	[0.3, 0.51)	10542	510	11052	0.9538545059717698	CENTRAL_SOUTH_ASIA
HGDP00052	[0.01, 0.03)	9117	182	9299	0.9804280030110765	CENTRAL_SOUTH_ASIA
HGDP00052	[0.03, 0.06)	10118	201	10319	0.9805213683496463	CENTRAL_SOUTH_ASIA
HGDP00052	[0.06, 0.1)	10122	329	10451	0.9685197588747488	CENTRAL_SOUTH_ASIA
HGDP00052	[0.1, 0.18)	12560	338	12898	0.9737943867266243	CENTRAL_SOUTH_ASIA
HGDP00052	[0.18, 0.3)	11172	496	11668	0.9574905725059993	CENTRAL_SOUTH_ASIA
HGDP00052	[0.3, 0.51)	10386	666	11052	0.9397394136807817	CENTRAL_SOUTH_ASIA
HGDP00068	[0.01, 0.03)	9140	159	9299	0.9829013872459404	CENTRAL_SOUTH_ASIA
HGDP00068	[0.03, 0.06)	10133	186	10319	0.9819749975772846	CENTRAL_SOUTH_ASIA
HGDP00068	[0.06, 0.1)	10289	162	10451	0.9844990909960769	CENTRAL_SOUTH_ASIA
HGDP00068	[0.1, 0.18)	12618	280	12898	0.9782912079392154	CENTRAL_SOUTH_ASIA
HGDP00068	[0.18, 0.3)	11258	410	11668	0.9648611587247172	CENTRAL_SOUTH_ASIA
HGDP00068	[0.3, 0.51)	10544	508	11052	0.9540354686934491	CENTRAL_SOUTH_ASIA
HGDP00086	[0.01, 0.03)	9093	206	9299	0.9778470803312184	CENTRAL_SOUTH_ASIA
HGDP00086	[0.03, 0.06)	10085	234	10319	0.9773233840488419	CENTRAL_SOUTH_ASIA
HGDP00086	[0.06, 0.1)	10216	235	10451	0.9775141134819635	CENTRAL_SOUTH_ASIA
HGDP00086	[0.1, 0.18)	12537	361	12898	0.9720111645216313	CENTRAL_SOUTH_ASIA
HGDP00086	[0.18, 0.3)	11246	422	11668	0.9638327048337333	CENTRAL_SOUTH_ASIA
HGDP00086	[0.3, 0.51)	10557	495	11052	0.9552117263843648	CENTRAL_SOUTH_ASIA
HGDP00092	[0.01, 0.03)	9153	146	9299	0.9842993870308635	CENTRAL_SOUTH_ASIA
HGDP00092	[0.03, 0.06)	10162	157	10319	0.9847853474173854	CENTRAL_SOUTH_ASIA
HGDP00092	[0.06, 0.1)	10281	170	10451	0.9837336140082289	CENTRAL_SOUTH_ASIA
HGDP00092	[0.1, 0.18)	12586	312	12898	0.9758102031322685	CENTRAL_SOUTH_ASIA
HGDP00092	[0.18, 0.3)	11270	398	11668	0.965889612615701	CENTRAL_SOUTH_ASIA
HGDP00092	[0.3, 0.51)	10428	624	11052	0.9435396308360477	CENTRAL_SOUTH_ASIA
HGDP00099	[0.01, 0.03)	9113	186	9299	0.9799978492311001	CENTRAL_SOUTH_ASIA
HGDP00099	[0.03, 0.06)	10183	136	10319	0.9868204283360791	CENTRAL_SOUTH_ASIA
HGDP00099	[0.06, 0.1)	10238	213	10451	0.9796191751985456	CENTRAL_SOUTH_ASIA
HGDP00099	[0.1, 0.18)	12632	266	12898	0.9793766475422546	CENTRAL_SOUTH_ASIA
HGDP00099	[0.18, 0.3)	11216	452	11668	0.9612615701062736	CENTRAL_SOUTH_ASIA
HGDP00099	[0.3, 0.51)	10410	642	11052	0.9419109663409337	CENTRAL_SOUTH_ASIA
HGDP00100	[0.01, 0.03)	9143	156	9299	0.9832240025809227	CENTRAL_SOUTH_ASIA
HGDP00100	[0.03, 0.06)	10204	115	10319	0.9888555092547727	CENTRAL_SOUTH_ASIA
HGDP00100	[0.06, 0.1)	10294	157	10451	0.984977514113482	CENTRAL_SOUTH_ASIA
HGDP00100	[0.1, 0.18)	12584	314	12898	0.9756551403318344	CENTRAL_SOUTH_ASIA
HGDP00100	[0.18, 0.3)	11213	455	11668	0.9610044566335276	CENTRAL_SOUTH_ASIA
HGDP00100	[0.3, 0.51)	10361	691	11052	0.93747737965979	CENTRAL_SOUTH_ASIA
HGDP00105	[0.01, 0.03)	9124	175	9299	0.981180772126035	CENTRAL_SOUTH_ASIA
HGDP00105	[0.03, 0.06)	10098	221	10319	0.9785831960461285	CENTRAL_SOUTH_ASIA
HGDP00105	[0.06, 0.1)	10233	218	10451	0.9791407520811406	CENTRAL_SOUTH_ASIA
HGDP00105	[0.1, 0.18)	12498	400	12898	0.9689874399131648	CENTRAL_SOUTH_ASIA
HGDP00105	[0.18, 0.3)	11125	543	11668	0.9534624614329791	CENTRAL_SOUTH_ASIA
HGDP00105	[0.3, 0.51)	10305	747	11052	0.9324104234527687	CENTRAL_SOUTH_ASIA
HGDP00118	[0.01, 0.03)	9178	121	9299	0.9869878481557157	CENTRAL_SOUTH_ASIA
HGDP00118	[0.03, 0.06)	10196	123	10319	0.9880802403333656	CENTRAL_SOUTH_ASIA
HGDP00118	[0.06, 0.1)	10263	188	10451	0.9820112907855708	CENTRAL_SOUTH_ASIA
HGDP00118	[0.1, 0.18)	12575	323	12898	0.9749573577298806	CENTRAL_SOUTH_ASIA
HGDP00118	[0.18, 0.3)	11229	439	11668	0.9623757284881728	CENTRAL_SOUTH_ASIA
HGDP00118	[0.3, 0.51)	10612	440	11052	0.9601882012305465	CENTRAL_SOUTH_ASIA
HGDP00131	[0.01, 0.03)	9087	212	9299	0.9772018496612539	CENTRAL_SOUTH_ASIA
HGDP00131	[0.03, 0.06)	10143	176	10319	0.9829440837290435	CENTRAL_SOUTH_ASIA
HGDP00131	[0.06, 0.1)	10213	238	10451	0.9772270596115205	CENTRAL_SOUTH_ASIA
