sample	maf_bin	num_correct	num_wrong	num_total	accuracy	continent
HGDP00001	[0.01, 0.03)	9091	208	9299	0.9776320034412302	CENTRAL_SOUTH_ASIA
HGDP00001	[0.03, 0.06)	10113	206	10319	0.9800368252737668	CENTRAL_SOUTH_ASIA
HGDP00001	[0.06, 0.1)	10270	181	10451	0.9826810831499379	CENTRAL_SOUTH_ASIA
HGDP00001	[0.1, 0.18)	12623	275	12898	0.9786788649403009	CENTRAL_SOUTH_ASIA
HGDP00001	[0.18, 0.3)	11270	398	11668	0.965889612615701	CENTRAL_SOUTH_ASIA
HGDP00001	[0.3, 0.51)	10422	630	11052	0.9429967426710097	CENTRAL_SOUTH_ASIA
HGDP00021	[0.01, 0.03)	9095	204	9299	0.9780621572212066	CENTRAL_SOUTH_ASIA
HGDP00021	[0.03, 0.06)	10113	206	10319	0.9800368252737668	CENTRAL_SOUTH_ASIA
HGDP00021	[0.06, 0.1)	10222	229	10451	0.9780882212228494	CENTRAL_SOUTH_ASIA
HGDP00021	[0.1, 0.18)	12556	342	12898	0.9734842611257559	CENTRAL_SOUTH_ASIA
HGDP00021	[0.18, 0.3)	11169	499	11668	0.9572334590332533	CENTRAL_SOUTH_ASIA
HGDP00021	[0.3, 0.51)	10462	590	11052	0.9466159971045964	CENTRAL_SOUTH_ASIA
HGDP00023	[0.01, 0.03)	9137	162	9299	0.9825787719109582	CENTRAL_SOUTH_ASIA
HGDP00023	[0.03, 0.06)	10131	188	10319	0.9817811803469328	CENTRAL_SOUTH_ASIA
HGDP00023	[0.06, 0.1)	10283	168	10451	0.9839249832551908	CENTRAL_SOUTH_ASIA
HGDP00023	[0.1, 0.18)	12577	321	12898	0.9751124205303148	CENTRAL_SOUTH_ASIA
HGDP00023	[0.18, 0.3)	11236	432	11668	0.96297565992458	CENTRAL_SOUTH_ASIA
HGDP00023	[0.3, 0.51)	10538	514	11052	0.9534925805284111	CENTRAL_SOUTH_ASIA
HGDP00039	[0.01, 0.03)	9141	158	9299	0.9830089256909345	CENTRAL_SOUTH_ASIA
HGDP00039	[0.03, 0.06)	10174	145	10319	0.9859482507994961	CENTRAL_SOUTH_ASIA
HGDP00039	[0.06, 0.1)	10278	173	10451	0.9834465601377859	CENTRAL_SOUTH_ASIA
HGDP00039	[0.1, 0.18)	12546	352	12898	0.972708947123585	CENTRAL_SOUTH_ASIA
HGDP00039	[0.18, 0.3)	11272	396	11668	0.9660610215975317	CENTRAL_SOUTH_ASIA
HGDP00039	[0.3, 0.51)	10617	435	11052	0.9606406080347448	CENTRAL_SOUTH_ASIA
HGDP00052	[0.01, 0.03)	9132	167	9299	0.9820410796859878	CENTRAL_SOUTH_ASIA
HGDP00052	[0.03, 0.06)	10135	184	10319	0.9821688148076364	CENTRAL_SOUTH_ASIA
HGDP00052	[0.06, 0.1)	10125	326	10451	0.9688068127451919	CENTRAL_SOUTH_ASIA
HGDP00052	[0.1, 0.18)	12579	319	12898	0.975267483330749	CENTRAL_SOUTH_ASIA
HGDP00052	[0.18, 0.3)	11216	452	11668	0.9612615701062736	CENTRAL_SOUTH_ASIA
HGDP00052	[0.3, 0.51)	10460	592	11052	0.9464350343829171	CENTRAL_SOUTH_ASIA
HGDP00068	[0.01, 0.03)	9147	152	9299	0.983654156360899	CENTRAL_SOUTH_ASIA
HGDP00068	[0.03, 0.06)	10154	165	10319	0.9840100784959783	CENTRAL_SOUTH_ASIA
HGDP00068	[0.06, 0.1)	10308	143	10451	0.9863170988422161	CENTRAL_SOUTH_ASIA
HGDP00068	[0.1, 0.18)	12666	232	12898	0.9820127151496356	CENTRAL_SOUTH_ASIA
HGDP00068	[0.18, 0.3)	11297	371	11668	0.9682036338704149	CENTRAL_SOUTH_ASIA
HGDP00068	[0.3, 0.51)	10592	460	11052	0.9583785740137531	CENTRAL_SOUTH_ASIA
HGDP00086	[0.01, 0.03)	9112	187	9299	0.979890310786106	CENTRAL_SOUTH_ASIA
HGDP00086	[0.03, 0.06)	10096	223	10319	0.9783893788157767	CENTRAL_SOUTH_ASIA
HGDP00086	[0.06, 0.1)	10247	204	10451	0.9804803368098747	CENTRAL_SOUTH_ASIA
HGDP00086	[0.1, 0.18)	12545	353	12898	0.972631415723368	CENTRAL_SOUTH_ASIA
HGDP00086	[0.18, 0.3)	11215	453	11668	0.9611758656153583	CENTRAL_SOUTH_ASIA
HGDP00086	[0.3, 0.51)	10511	541	11052	0.9510495837857401	CENTRAL_SOUTH_ASIA
HGDP00092	[0.01, 0.03)	9169	130	9299	0.9860200021507689	CENTRAL_SOUTH_ASIA
HGDP00092	[0.03, 0.06)	10182	137	10319	0.9867235197209032	CENTRAL_SOUTH_ASIA
HGDP00092	[0.06, 0.1)	10287	164	10451	0.984307721749115	CENTRAL_SOUTH_ASIA
HGDP00092	[0.1, 0.18)	12608	290	12898	0.9775158939370445	CENTRAL_SOUTH_ASIA
HGDP00092	[0.18, 0.3)	11279	389	11668	0.966660953033939	CENTRAL_SOUTH_ASIA
HGDP00092	[0.3, 0.51)	10433	619	11052	0.9439920376402461	CENTRAL_SOUTH_ASIA
HGDP00099	[0.01, 0.03)	9134	165	9299	0.9822561565759759	CENTRAL_SOUTH_ASIA
HGDP00099	[0.03, 0.06)	10197	122	10319	0.9881771489485415	CENTRAL_SOUTH_ASIA
HGDP00099	[0.06, 0.1)	10315	136	10451	0.9869868912065831	CENTRAL_SOUTH_ASIA
HGDP00099	[0.1, 0.18)	12656	242	12898	0.9812374011474647	CENTRAL_SOUTH_ASIA
HGDP00099	[0.18, 0.3)	11306	362	11668	0.9689749742886528	CENTRAL_SOUTH_ASIA
HGDP00099	[0.3, 0.51)	10518	534	11052	0.9516829533116178	CENTRAL_SOUTH_ASIA
HGDP00100	[0.01, 0.03)	9164	135	9299	0.9854823099257984	CENTRAL_SOUTH_ASIA
HGDP00100	[0.03, 0.06)	10210	109	10319	0.9894369609458281	CENTRAL_SOUTH_ASIA
HGDP00100	[0.06, 0.1)	10310	141	10451	0.986508468089178	CENTRAL_SOUTH_ASIA
HGDP00100	[0.1, 0.18)	12593	305	12898	0.9763529229337882	CENTRAL_SOUTH_ASIA
HGDP00100	[0.18, 0.3)	11267	401	11668	0.9656324991429551	CENTRAL_SOUTH_ASIA
HGDP00100	[0.3, 0.51)	10515	537	11052	0.9514115092290988	CENTRAL_SOUTH_ASIA
HGDP00105	[0.01, 0.03)	9151	148	9299	0.9840843101408754	CENTRAL_SOUTH_ASIA
HGDP00105	[0.03, 0.06)	10111	208	10319	0.9798430080434151	CENTRAL_SOUTH_ASIA
HGDP00105	[0.06, 0.1)	10253	198	10451	0.9810544445507607	CENTRAL_SOUTH_ASIA
HGDP00105	[0.1, 0.18)	12556	342	12898	0.9734842611257559	CENTRAL_SOUTH_ASIA
HGDP00105	[0.18, 0.3)	11160	508	11668	0.9564621186150154	CENTRAL_SOUTH_ASIA
HGDP00105	[0.3, 0.51)	10468	584	11052	0.9471588852696344	CENTRAL_SOUTH_ASIA
HGDP00118	[0.01, 0.03)	9183	116	9299	0.9875255403806861	CENTRAL_SOUTH_ASIA
HGDP00118	[0.03, 0.06)	10217	102	10319	0.9901153212520593	CENTRAL_SOUTH_ASIA
HGDP00118	[0.06, 0.1)	10261	190	10451	0.9818199215386088	CENTRAL_SOUTH_ASIA
HGDP00118	[0.1, 0.18)	12575	323	12898	0.9749573577298806	CENTRAL_SOUTH_ASIA
HGDP00118	[0.18, 0.3)	11235	433	11668	0.9628899554336647	CENTRAL_SOUTH_ASIA
HGDP00118	[0.3, 0.51)	10471	581	11052	0.9474303293521534	CENTRAL_SOUTH_ASIA
HGDP00131	[0.01, 0.03)	9111	188	9299	0.979782772341112	CENTRAL_SOUTH_ASIA
HGDP00131	[0.03, 0.06)	10169	150	10319	0.9854637077236166	CENTRAL_SOUTH_ASIA
HGDP00131	[0.06, 0.1)	10288	163	10451	0.9844034063725959	CENTRAL_SOUTH_ASIA
HGDP00131	[0.1, 0.18)	12615	283	12898	0.9780586137385641	CENTRAL_SOUTH_ASIA
HGDP00131	[0.18, 0.3)	11270	398	11668	0.965889612615701	CENTRAL_SOUTH_ASIA
HGDP00131	[0.3, 0.51)	10535	517	11052	0.9532211364458921	CENTRAL_SOUTH_ASIA
HGDP00141	[0.01, 0.03)	9084	215	9299	0.9768792343262717	CENTRAL_SOUTH_ASIA
HGDP00141	[0.03, 0.06)	10111	208	10319	0.9798430080434151	CENTRAL_SOUTH_ASIA
HGDP00141	[0.06, 0.1)	10206	245	10451	0.9765572672471534	CENTRAL_SOUTH_ASIA
HGDP00141	[0.1, 0.18)	12616	282	12898	0.9781361451387812	CENTRAL_SOUTH_ASIA
HGDP00141	[0.18, 0.3)	11205	463	11668	0.960318820706205	CENTRAL_SOUTH_ASIA
HGDP00141	[0.3, 0.51)	10464	588	11052	0.9467969598262758	CENTRAL_SOUTH_ASIA
HGDP00143	[0.01, 0.03)	9135	164	9299	0.98236369502097	CENTRAL_SOUTH_ASIA
HGDP00143	[0.03, 0.06)	10126	193	10319	0.9812966372710534	CENTRAL_SOUTH_ASIA
