sample	maf_bin	num_correct	num_wrong	num_total	accuracy	continent
HGDP00001	[0.01, 0.03)	9071	228	9299	0.9754812345413485	CENTRAL_SOUTH_ASIA
HGDP00001	[0.03, 0.06)	10084	235	10319	0.977226475433666	CENTRAL_SOUTH_ASIA
HGDP00001	[0.06, 0.1)	10194	257	10451	0.9754090517653813	CENTRAL_SOUTH_ASIA
HGDP00001	[0.1, 0.18)	12555	343	12898	0.9734067297255389	CENTRAL_SOUTH_ASIA
HGDP00001	[0.18, 0.3)	11199	469	11668	0.959804593760713	CENTRAL_SOUTH_ASIA
HGDP00001	[0.3, 0.51)	10468	584	11052	0.9471588852696344	CENTRAL_SOUTH_ASIA
HGDP00021	[0.01, 0.03)	9083	216	9299	0.9767716958812775	CENTRAL_SOUTH_ASIA
HGDP00021	[0.03, 0.06)	10093	226	10319	0.978098652970249	CENTRAL_SOUTH_ASIA
HGDP00021	[0.06, 0.1)	10190	261	10451	0.9750263132714573	CENTRAL_SOUTH_ASIA
HGDP00021	[0.1, 0.18)	12518	380	12898	0.9705380679175066	CENTRAL_SOUTH_ASIA
HGDP00021	[0.18, 0.3)	11102	566	11668	0.9514912581419266	CENTRAL_SOUTH_ASIA
HGDP00021	[0.3, 0.51)	10362	690	11052	0.9375678610206297	CENTRAL_SOUTH_ASIA
HGDP00023	[0.01, 0.03)	9110	189	9299	0.9796752338961179	CENTRAL_SOUTH_ASIA
HGDP00023	[0.03, 0.06)	10110	209	10319	0.9797460994282392	CENTRAL_SOUTH_ASIA
HGDP00023	[0.06, 0.1)	10270	181	10451	0.9826810831499379	CENTRAL_SOUTH_ASIA
HGDP00023	[0.1, 0.18)	12505	393	12898	0.9695301597146845	CENTRAL_SOUTH_ASIA
HGDP00023	[0.18, 0.3)	11151	517	11668	0.9556907781967775	CENTRAL_SOUTH_ASIA
HGDP00023	[0.3, 0.51)	10360	692	11052	0.9373868982989504	CENTRAL_SOUTH_ASIA
HGDP00039	[0.01, 0.03)	9105	194	9299	0.9791375416711474	CENTRAL_SOUTH_ASIA
HGDP00039	[0.03, 0.06)	10129	190	10319	0.981587363116581	CENTRAL_SOUTH_ASIA
HGDP00039	[0.06, 0.1)	10175	276	10451	0.9735910439192422	CENTRAL_SOUTH_ASIA
HGDP00039	[0.1, 0.18)	12486	412	12898	0.9680570631105597	CENTRAL_SOUTH_ASIA
HGDP00039	[0.18, 0.3)	11276	392	11668	0.966403839561193	CENTRAL_SOUTH_ASIA
HGDP00039	[0.3, 0.51)	10477	575	11052	0.9479732175171914	CENTRAL_SOUTH_ASIA
HGDP00052	[0.01, 0.03)	9098	201	9299	0.9783847725561888	CENTRAL_SOUTH_ASIA
HGDP00052	[0.03, 0.06)	10106	213	10319	0.9793584649675356	CENTRAL_SOUTH_ASIA
HGDP00052	[0.06, 0.1)	10121	330	10451	0.9684240742512679	CENTRAL_SOUTH_ASIA
HGDP00052	[0.1, 0.18)	12444	454	12898	0.9648007443014421	CENTRAL_SOUTH_ASIA
HGDP00052	[0.18, 0.3)	11143	525	11668	0.9550051422694549	CENTRAL_SOUTH_ASIA
HGDP00052	[0.3, 0.51)	10380	672	11052	0.9391965255157437	CENTRAL_SOUTH_ASIA
HGDP00068	[0.01, 0.03)	9107	192	9299	0.9793526185611356	CENTRAL_SOUTH_ASIA
HGDP00068	[0.03, 0.06)	10133	186	10319	0.9819749975772846	CENTRAL_SOUTH_ASIA
HGDP00068	[0.06, 0.1)	10256	195	10451	0.9813414984212037	CENTRAL_SOUTH_ASIA
HGDP00068	[0.1, 0.18)	12499	399	12898	0.9690649713133819	CENTRAL_SOUTH_ASIA
HGDP00068	[0.18, 0.3)	11157	511	11668	0.9562050051422695	CENTRAL_SOUTH_ASIA
HGDP00068	[0.3, 0.51)	10520	532	11052	0.9518639160332971	CENTRAL_SOUTH_ASIA
HGDP00086	[0.01, 0.03)	9089	210	9299	0.977416926551242	CENTRAL_SOUTH_ASIA
HGDP00086	[0.03, 0.06)	10085	234	10319	0.9773233840488419	CENTRAL_SOUTH_ASIA
HGDP00086	[0.06, 0.1)	10231	220	10451	0.9789493828341785	CENTRAL_SOUTH_ASIA
HGDP00086	[0.1, 0.18)	12527	371	12898	0.9712358505194604	CENTRAL_SOUTH_ASIA
HGDP00086	[0.18, 0.3)	11179	489	11668	0.9580905039424066	CENTRAL_SOUTH_ASIA
HGDP00086	[0.3, 0.51)	10441	611	11052	0.9447158885269634	CENTRAL_SOUTH_ASIA
HGDP00092	[0.01, 0.03)	9153	146	9299	0.9842993870308635	CENTRAL_SOUTH_ASIA
HGDP00092	[0.03, 0.06)	10168	151	10319	0.9853667991084407	CENTRAL_SOUTH_ASIA
HGDP00092	[0.06, 0.1)	10285	166	10451	0.9841163525021529	CENTRAL_SOUTH_ASIA
HGDP00092	[0.1, 0.18)	12559	339	12898	0.9737168553264072	CENTRAL_SOUTH_ASIA
HGDP00092	[0.18, 0.3)	11243	425	11668	0.9635755913609874	CENTRAL_SOUTH_ASIA
HGDP00092	[0.3, 0.51)	10392	660	11052	0.9402823018458197	CENTRAL_SOUTH_ASIA
HGDP00099	[0.01, 0.03)	9096	203	9299	0.9781696956662007	CENTRAL_SOUTH_ASIA
HGDP00099	[0.03, 0.06)	10164	155	10319	0.9849791646477372	CENTRAL_SOUTH_ASIA
HGDP00099	[0.06, 0.1)	10254	197	10451	0.9811501291742417	CENTRAL_SOUTH_ASIA
HGDP00099	[0.1, 0.18)	12517	381	12898	0.9704605365172895	CENTRAL_SOUTH_ASIA
HGDP00099	[0.18, 0.3)	11146	522	11668	0.9552622557422009	CENTRAL_SOUTH_ASIA
HGDP00099	[0.3, 0.51)	10303	749	11052	0.9322294607310894	CENTRAL_SOUTH_ASIA
HGDP00100	[0.01, 0.03)	9121	178	9299	0.9808581567910528	CENTRAL_SOUTH_ASIA
HGDP00100	[0.03, 0.06)	10162	157	10319	0.9847853474173854	CENTRAL_SOUTH_ASIA
HGDP00100	[0.06, 0.1)	10236	215	10451	0.9794278059515836	CENTRAL_SOUTH_ASIA
HGDP00100	[0.1, 0.18)	12543	355	12898	0.9724763529229338	CENTRAL_SOUTH_ASIA
HGDP00100	[0.18, 0.3)	11192	476	11668	0.9592046623243058	CENTRAL_SOUTH_ASIA
HGDP00100	[0.3, 0.51)	10383	669	11052	0.9394679695982627	CENTRAL_SOUTH_ASIA
HGDP00105	[0.01, 0.03)	9117	182	9299	0.9804280030110765	CENTRAL_SOUTH_ASIA
HGDP00105	[0.03, 0.06)	10085	234	10319	0.9773233840488419	CENTRAL_SOUTH_ASIA
HGDP00105	[0.06, 0.1)	10232	219	10451	0.9790450674576595	CENTRAL_SOUTH_ASIA
HGDP00105	[0.1, 0.18)	12519	379	12898	0.9706155993177237	CENTRAL_SOUTH_ASIA
HGDP00105	[0.18, 0.3)	11104	564	11668	0.9516626671237572	CENTRAL_SOUTH_ASIA
HGDP00105	[0.3, 0.51)	10276	776	11052	0.9297864639884184	CENTRAL_SOUTH_ASIA
HGDP00118	[0.01, 0.03)	9150	149	9299	0.9839767716958813	CENTRAL_SOUTH_ASIA
HGDP00118	[0.03, 0.06)	10173	146	10319	0.9858513421843201	CENTRAL_SOUTH_ASIA
HGDP00118	[0.06, 0.1)	10231	220	10451	0.9789493828341785	CENTRAL_SOUTH_ASIA
HGDP00118	[0.1, 0.18)	12550	348	12898	0.9730190727244534	CENTRAL_SOUTH_ASIA
HGDP00118	[0.18, 0.3)	11131	537	11668	0.953976688378471	CENTRAL_SOUTH_ASIA
HGDP00118	[0.3, 0.51)	10529	523	11052	0.9526782482808541	CENTRAL_SOUTH_ASIA
HGDP00131	[0.01, 0.03)	9087	212	9299	0.9772018496612539	CENTRAL_SOUTH_ASIA
HGDP00131	[0.03, 0.06)	10116	203	10319	0.9803275511192945	CENTRAL_SOUTH_ASIA
HGDP00131	[0.06, 0.1)	10208	243	10451	0.9767486364941154	CENTRAL_SOUTH_ASIA
HGDP00131	[0.1, 0.18)	12535	363	12898	0.9718561017211971	CENTRAL_SOUTH_ASIA
HGDP00131	[0.18, 0.3)	11207	461	11668	0.9604902296880357	CENTRAL_SOUTH_ASIA
HGDP00131	[0.3, 0.51)	10536	516	11052	0.9533116178067318	CENTRAL_SOUTH_ASIA
HGDP00141	[0.01, 0.03)	9063	236	9299	0.9746209269813958	CENTRAL_SOUTH_ASIA
HGDP00141	[0.03, 0.06)	10065	254	10319	0.9753852117453241	CENTRAL_SOUTH_ASIA
