sample	maf_bin	num_wrong	num_correct	num_total	accuracy	continent
0	[0.01, 0.03)	216	9084	9300	0.9767741935483871	EUROPE
0	[0.03, 0.06)	192	10127	10319	0.9813935458862293	EUROPE
0	[0.06, 0.1)	216	10236	10452	0.9793340987370838	EUROPE
0	[0.1, 0.18)	321	12577	12898	0.9751124205303148	EUROPE
0	[0.18, 0.3)	407	11261	11668	0.9651182721974632	EUROPE
0	[0.3, 0.51)	659	10394	11053	0.9403781778702615	EUROPE
1	[0.01, 0.03)	210	9090	9300	0.9774193548387097	EUROPE
1	[0.03, 0.06)	156	10163	10319	0.9848822560325613	EUROPE
1	[0.06, 0.1)	195	10257	10452	0.9813432835820896	EUROPE
1	[0.1, 0.18)	302	12596	12898	0.9765855171344394	EUROPE
1	[0.18, 0.3)	375	11293	11668	0.9678608159067535	EUROPE
1	[0.3, 0.51)	662	10391	11053	0.9401067583461503	EUROPE
2	[0.01, 0.03)	220	9080	9300	0.9763440860215054	EUROPE
2	[0.03, 0.06)	149	10170	10319	0.9855606163387926	EUROPE
2	[0.06, 0.1)	177	10275	10452	0.9830654420206659	EUROPE
2	[0.1, 0.18)	342	12556	12898	0.9734842611257559	EUROPE
2	[0.18, 0.3)	429	11239	11668	0.963232773397326	EUROPE
2	[0.3, 0.51)	670	10383	11053	0.9393829729485208	EUROPE
3	[0.01, 0.03)	201	9099	9300	0.9783870967741936	EUROPE
3	[0.03, 0.06)	175	10144	10319	0.9830409923442194	EUROPE
3	[0.06, 0.1)	164	10288	10452	0.9843092231151933	EUROPE
3	[0.1, 0.18)	305	12593	12898	0.9763529229337882	EUROPE
3	[0.18, 0.3)	409	11259	11668	0.9649468632156325	EUROPE
3	[0.3, 0.51)	437	10616	11053	0.9604632226544829	EUROPE
4	[0.01, 0.03)	173	9127	9300	0.9813978494623656	CENTRAL_SOUTH_ASIA
4	[0.03, 0.06)	185	10134	10319	0.9820719061924605	CENTRAL_SOUTH_ASIA
4	[0.06, 0.1)	160	10292	10452	0.9846919249904325	CENTRAL_SOUTH_ASIA
4	[0.1, 0.18)	231	12667	12898	0.9820902465498527	CENTRAL_SOUTH_ASIA
4	[0.18, 0.3)	349	11319	11668	0.970089132670552	CENTRAL_SOUTH_ASIA
4	[0.3, 0.51)	380	10673	11053	0.9656201936125939	CENTRAL_SOUTH_ASIA
5	[0.01, 0.03)	217	9083	9300	0.9766666666666667	CENTRAL_SOUTH_ASIA
5	[0.03, 0.06)	260	10059	10319	0.9748037600542688	CENTRAL_SOUTH_ASIA
5	[0.06, 0.1)	209	10243	10452	0.9800038270187524	CENTRAL_SOUTH_ASIA
5	[0.1, 0.18)	366	12532	12898	0.9716235075205458	CENTRAL_SOUTH_ASIA
5	[0.18, 0.3)	422	11246	11668	0.9638327048337333	CENTRAL_SOUTH_ASIA
5	[0.3, 0.51)	528	10525	11053	0.9522301637564462	CENTRAL_SOUTH_ASIA
6	[0.01, 0.03)	190	9110	9300	0.9795698924731183	CENTRAL_SOUTH_ASIA
6	[0.03, 0.06)	201	10118	10319	0.9805213683496463	CENTRAL_SOUTH_ASIA
6	[0.06, 0.1)	342	10110	10452	0.9672789896670494	CENTRAL_SOUTH_ASIA
6	[0.1, 0.18)	360	12538	12898	0.9720886959218483	CENTRAL_SOUTH_ASIA
6	[0.18, 0.3)	454	11214	11668	0.9610901611244429	CENTRAL_SOUTH_ASIA
6	[0.3, 0.51)	697	10356	11053	0.9369401972315209	CENTRAL_SOUTH_ASIA
7	[0.01, 0.03)	162	9138	9300	0.9825806451612903	CENTRAL_SOUTH_ASIA
7	[0.03, 0.06)	156	10163	10319	0.9848822560325613	CENTRAL_SOUTH_ASIA
7	[0.06, 0.1)	197	10255	10452	0.98115193264447	CENTRAL_SOUTH_ASIA
7	[0.1, 0.18)	294	12604	12898	0.9772057683361761	CENTRAL_SOUTH_ASIA
7	[0.18, 0.3)	388	11280	11668	0.9667466575248543	CENTRAL_SOUTH_ASIA
7	[0.3, 0.51)	567	10486	11053	0.9487017099430018	CENTRAL_SOUTH_ASIA
8	[0.01, 0.03)	159	9141	9300	0.9829032258064516	AFRICA
8	[0.03, 0.06)	297	10022	10319	0.971218141292761	AFRICA
8	[0.06, 0.1)	467	9985	10452	0.9553195560658247	AFRICA
8	[0.1, 0.18)	739	12159	12898	0.942704295239572	AFRICA
8	[0.18, 0.3)	766	10902	11668	0.9343503599588618	AFRICA
8	[0.3, 0.51)	875	10178	11053	0.9208359721342622	AFRICA
9	[0.01, 0.03)	149	9151	9300	0.9839784946236559	AFRICA
9	[0.03, 0.06)	307	10012	10319	0.970249055141002	AFRICA
9	[0.06, 0.1)	390	10062	10452	0.9626865671641791	AFRICA
9	[0.1, 0.18)	711	12187	12898	0.9448751744456505	AFRICA
9	[0.18, 0.3)	668	11000	11668	0.9427494000685636	AFRICA
9	[0.3, 0.51)	849	10204	11053	0.9231882746765584	AFRICA
10	[0.01, 0.03)	225	9075	9300	0.9758064516129032	AFRICA
10	[0.03, 0.06)	357	9962	10319	0.9654036243822076	AFRICA
10	[0.06, 0.1)	434	10018	10452	0.9584768465365481	AFRICA
10	[0.1, 0.18)	802	12096	12898	0.9378198170258955	AFRICA
10	[0.18, 0.3)	789	10879	11668	0.9323791566678094	AFRICA
10	[0.3, 0.51)	864	10189	11053	0.9218311770560029	AFRICA
11	[0.01, 0.03)	173	9127	9300	0.9813978494623656	AFRICA
11	[0.03, 0.06)	286	10033	10319	0.9722841360596957	AFRICA
11	[0.06, 0.1)	392	10060	10452	0.9624952162265595	AFRICA
11	[0.1, 0.18)	651	12247	12898	0.9495270584586758	AFRICA
11	[0.18, 0.3)	727	10941	11668	0.9376928351045595	AFRICA
11	[0.3, 0.51)	917	10136	11053	0.9170360987967068	AFRICA
12	[0.01, 0.03)	191	9109	9300	0.9794623655913979	AFRICA
12	[0.03, 0.06)	368	9951	10319	0.9643376296152728	AFRICA
12	[0.06, 0.1)	448	10004	10452	0.9571373899732109	AFRICA
12	[0.1, 0.18)	807	12091	12898	0.93743216002481	AFRICA
12	[0.18, 0.3)	723	10945	11668	0.9380356530682208	AFRICA
12	[0.3, 0.51)	949	10104	11053	0.9141409572061884	AFRICA
