sample	maf_bin	num_wrong	num_correct	num_total	accuracy	continent
0	[0.01, 0.03)	195	9105	9300	0.9790322580645161	EUROPE
0	[0.03, 0.06)	172	10147	10319	0.9833317181897471	EUROPE
0	[0.06, 0.1)	176	10276	10452	0.9831611174894757	EUROPE
0	[0.1, 0.18)	280	12618	12898	0.9782912079392154	EUROPE
0	[0.18, 0.3)	334	11334	11668	0.9713747000342818	EUROPE
0	[0.3, 0.51)	505	10548	11053	0.9543110467746313	EUROPE
1	[0.01, 0.03)	152	9148	9300	0.9836559139784946	EUROPE
1	[0.03, 0.06)	120	10199	10319	0.9883709661788933	EUROPE
1	[0.06, 0.1)	188	10264	10452	0.9820130118637581	EUROPE
1	[0.1, 0.18)	254	12644	12898	0.9803070243448597	EUROPE
1	[0.18, 0.3)	375	11293	11668	0.9678608159067535	EUROPE
1	[0.3, 0.51)	581	10472	11053	0.94743508549715	EUROPE
2	[0.01, 0.03)	166	9134	9300	0.9821505376344086	EUROPE
2	[0.03, 0.06)	117	10202	10319	0.988661692024421	EUROPE
2	[0.06, 0.1)	172	10280	10452	0.9835438193647149	EUROPE
2	[0.1, 0.18)	302	12596	12898	0.9765855171344394	EUROPE
2	[0.18, 0.3)	398	11270	11668	0.965889612615701	EUROPE
2	[0.3, 0.51)	583	10470	11053	0.9472541391477427	EUROPE
3	[0.01, 0.03)	175	9125	9300	0.9811827956989247	EUROPE
3	[0.03, 0.06)	158	10161	10319	0.9846884388022095	EUROPE
3	[0.06, 0.1)	143	10309	10452	0.986318407960199	EUROPE
3	[0.1, 0.18)	264	12634	12898	0.9795317103426888	EUROPE
3	[0.18, 0.3)	355	11313	11668	0.96957490572506	EUROPE
3	[0.3, 0.51)	403	10650	11053	0.9635393105944088	EUROPE
4	[0.01, 0.03)	148	9152	9300	0.9840860215053764	CENTRAL_SOUTH_ASIA
4	[0.03, 0.06)	169	10150	10319	0.9836224440352748	CENTRAL_SOUTH_ASIA
4	[0.06, 0.1)	125	10327	10452	0.9880405663987754	CENTRAL_SOUTH_ASIA
4	[0.1, 0.18)	204	12694	12898	0.984183594355714	CENTRAL_SOUTH_ASIA
4	[0.18, 0.3)	344	11324	11668	0.9705176551251286	CENTRAL_SOUTH_ASIA
4	[0.3, 0.51)	399	10654	11053	0.9639012032932236	CENTRAL_SOUTH_ASIA
5	[0.01, 0.03)	178	9122	9300	0.9808602150537634	CENTRAL_SOUTH_ASIA
5	[0.03, 0.06)	217	10102	10319	0.9789708305068321	CENTRAL_SOUTH_ASIA
5	[0.06, 0.1)	204	10248	10452	0.9804822043628014	CENTRAL_SOUTH_ASIA
5	[0.1, 0.18)	326	12572	12898	0.9747247635292293	CENTRAL_SOUTH_ASIA
5	[0.18, 0.3)	373	11295	11668	0.9680322248885842	CENTRAL_SOUTH_ASIA
5	[0.3, 0.51)	429	10624	11053	0.9611870080521125	CENTRAL_SOUTH_ASIA
6	[0.01, 0.03)	165	9135	9300	0.9822580645161291	CENTRAL_SOUTH_ASIA
6	[0.03, 0.06)	163	10156	10319	0.98420389572633	CENTRAL_SOUTH_ASIA
6	[0.06, 0.1)	288	10164	10452	0.9724454649827784	CENTRAL_SOUTH_ASIA
