ref	sample	acc	continent
SNPBag omni	0	97.46993454102602	EUR
SNPBag omni	1	97.45775612726445	EUR
SNPBag omni	10	96.29167300959053	AFR
SNPBag omni	100	96.91581671487288	AFR
SNPBag omni	101	96.6067894656721	AFR
SNPBag omni	102	96.4225909575278	AFR
SNPBag omni	103	96.50022834525804	AFR
SNPBag omni	104	98.75171258943524	AMR
SNPBag omni	105	97.94641497944892	AMR
SNPBag omni	106	98.27675445273252	AMR
SNPBag omni	107	98.26000913381031	AMR
SNPBag omni	108	92.5574668899376	AFR
SNPBag omni	109	91.82676206424112	AFR
SNPBag omni	11	96.1303090272492	AFR
SNPBag omni	110	91.97594763282082	AFR
SNPBag omni	111	92.29563099406305	AFR
SNPBag omni	112	97.61455320444512	EAS
SNPBag omni	113	97.66326685949154	EAS
SNPBag omni	114	97.82158623839244	EAS
SNPBag omni	115	97.68914598873496	EAS
SNPBag omni	116	97.46384533414523	EAS
SNPBag omni	117	97.99208403105496	EAS
SNPBag omni	118	97.7378596437814	EAS
SNPBag omni	119	97.64347693712894	EAS
SNPBag omni	12	96.00091338103212	AFR
SNPBag omni	120	97.19592023138986	ME
SNPBag omni	121	97.23854467955547	ME
SNPBag omni	122	97.33749429136856	ME
SNPBag omni	123	97.17156340386664	ME
SNPBag omni	124	98.12604658243264	EAS
SNPBag omni	125	97.67392297153296	EAS
SNPBag omni	126	97.7363373420612	EAS
SNPBag omni	127	97.66326685949154	EAS
SNPBag omni	128	97.54757192875628	EAS
SNPBag omni	129	97.64499923884914	EAS
SNPBag omni	13	95.90957527782008	AFR
SNPBag omni	130	97.9053128330035	EAS
SNPBag omni	131	97.59780788552293	EAS
SNPBag omni	132	98.12756888415284	EUR
SNPBag omni	133	98.18084944435988	EUR
SNPBag omni	134	98.30720048713656	EUR
SNPBag omni	135	98.13061348759324	EUR
SNPBag omni	136	97.80179631602984	EAS
SNPBag omni	137	97.92053585020552	EAS
SNPBag omni	138	97.87029989343888	EAS
SNPBag omni	139	97.50342517887046	EAS
SNPBag omni	14	95.06469782310852	AFR
SNPBag omni	140	96.99193180088294	ME
SNPBag omni	141	97.1182828436596	ME
SNPBag omni	142	97.13502816258185	ME
SNPBag omni	143	96.91581671487288	ME
SNPBag omni	144	95.95067742426548	OC
SNPBag omni	145	96.43324706956918	OC
SNPBag omni	146	96.48957223321662	OC
SNPBag omni	147	95.45897396864058	OC
SNPBag omni	148	96.2871061044299	OC
SNPBag omni	149	95.89282995889783	OC
SNPBag omni	15	92.83148119957374	AFR
SNPBag omni	150	96.08159537220276	OC
SNPBag omni	151	96.36474349216014	OC
SNPBag omni	152	97.9068351347237	CSA
SNPBag omni	153	97.42426548942	CSA
SNPBag omni	154	97.28269142944131	CSA
SNPBag omni	155	97.4440554117826	CSA
SNPBag omni	156	98.27827675445272	AMR
SNPBag omni	157	98.20520627188309	AMR
SNPBag omni	158	98.32394580605876	AMR
SNPBag omni	159	98.00882934997716	AMR
SNPBag omni	16	98.02557466889937	EUR
SNPBag omni	160	97.62977622164712	EUR
SNPBag omni	161	98.03927538438118	EUR
SNPBag omni	162	97.2689907139595	EUR
SNPBag omni	163	97.66631146293196	EUR
SNPBag omni	164	89.85994824174152	AFR
SNPBag omni	165	89.49307352717308	AFR
SNPBag omni	166	89.42152534632363	AFR
SNPBag omni	167	90.27553661135636	AFR
SNPBag omni	168	97.53387121327448	EUR
SNPBag omni	169	97.53539351499468	EUR
SNPBag omni	17	98.19302785812148	EUR
SNPBag omni	170	97.7606941695844	EUR
SNPBag omni	171	97.34815040340996	EUR
SNPBag omni	172	97.68914598873496	EAS
SNPBag omni	173	97.87791140203989	EAS
SNPBag omni	174	97.76982797990564	EAS
SNPBag omni	175	97.31161516212514	EAS
SNPBag omni	176	97.81397472979144	CSA
SNPBag omni	177	97.49124676510884	CSA
SNPBag omni	178	97.54452732531588	CSA
SNPBag omni	179	97.4181762825392	CSA
SNPBag omni	18	98.0666768153448	EUR
SNPBag omni	180	98.28741056477394	AMR
SNPBag omni	181	98.35895874562338	AMR
SNPBag omni	182	98.66341908966358	AMR
SNPBag omni	183	98.30415588369615	AMR
SNPBag omni	184	97.38011873953415	EAS
SNPBag omni	185	97.49581367026946	EAS
SNPBag omni	186	97.59780788552293	EAS
SNPBag omni	187	97.5764956614401	EAS
SNPBag omni	188	97.87334449687928	EAS
SNPBag omni	189	97.67696757497336	EAS
SNPBag omni	19	97.87791140203989	EUR
SNPBag omni	190	98.098645151469	EAS
SNPBag omni	191	97.63586542852794	EAS
SNPBag omni	192	97.68914598873496	EUR
SNPBag omni	193	98.01948546201858	EUR
SNPBag omni	194	97.4105647739382	EUR
SNPBag omni	195	97.4440554117826	EUR
SNPBag omni	196	97.7211143248592	CSA
SNPBag omni	197	97.29791444664332	CSA
SNPBag omni	198	97.22788856751409	CSA
SNPBag omni	199	97.7713502816258	CSA
SNPBag omni	2	97.35423961029076	EUR
SNPBag omni	20	97.84289846247526	ME
SNPBag omni	200	97.33444968792814	EAS
SNPBag omni	201	97.84137616075506	EAS
SNPBag omni	202	97.52625970467346	EAS
SNPBag omni	203	97.30857055868472	EAS
SNPBag omni	204	97.4120870756584	EAS
SNPBag omni	205	97.65869995433096	EAS
SNPBag omni	206	97.79722941086924	EAS
SNPBag omni	207	97.757649566144	EAS
SNPBag omni	208	97.55975034251787	EAS
SNPBag omni	209	97.19287562794946	EAS
SNPBag omni	21	96.80773329273862	ME
SNPBag omni	210	97.59476328208252	EAS
SNPBag omni	211	97.88400060892069	EAS
SNPBag omni	212	96.71487288780637	AFR
SNPBag omni	213	97.52473740295326	AFR
SNPBag omni	214	97.03760085248896	AFR
SNPBag omni	215	97.30248135180392	AFR
SNPBag omni	22	97.098492921297	ME
SNPBag omni	23	97.3907748515756	ME
SNPBag omni	24	97.84289846247526	EUR
SNPBag omni	25	98.0727660222256	EUR
SNPBag omni	26	97.79875171258944	EUR
SNPBag omni	27	97.47450144618664	EUR
SNPBag omni	28	92.74471000152232	AFR
SNPBag omni	29	92.77363373420611	AFR
SNPBag omni	3	97.719592023139	EUR
SNPBag omni	30	92.9334754148272	AFR
SNPBag omni	31	93.12680773329274	AFR
SNPBag omni	32	96.14705434617142	OC
SNPBag omni	33	96.4439031816106	OC
SNPBag omni	34	96.749885827371	OC
SNPBag omni	35	96.55807581062568	OC
SNPBag omni	36	97.54148272187548	CSA
SNPBag omni	37	97.32683817932714	CSA
SNPBag omni	38	97.33597198964836	CSA
SNPBag omni	39	97.0634799817324	CSA
SNPBag omni	4	97.88552291064089	CSA
SNPBag omni	40	97.94184807428832	CSA
SNPBag omni	41	97.48211295478764	CSA
SNPBag omni	42	97.79114020398843	CSA
SNPBag omni	43	97.33292738620794	CSA
SNPBag omni	44	97.00106561120414	EAS
SNPBag omni	45	97.77743948850664	EAS
SNPBag omni	46	97.38316334297458	EAS
SNPBag omni	47	97.7409042472218	EAS
SNPBag omni	48	98.16714872887806	AMR
SNPBag omni	49	98.51575582280408	AMR
SNPBag omni	5	97.37098492921297	CSA
SNPBag omni	50	98.48074288323946	AMR
SNPBag omni	51	97.95707109149032	AMR
SNPBag omni	52	97.88095600548029	EAS
SNPBag omni	53	97.56127264423807	EAS
SNPBag omni	54	97.51408129091186	EAS
SNPBag omni	55	97.55518343735729	EAS
SNPBag omni	56	97.7393819455016	EAS
SNPBag omni	57	97.37707413609378	EAS
