ref	continent	sample	maf_bin	accuracy
REF	AFRICA	HGDP00452	[0.01, 0.03)	0.9631023646509183
REF	AFRICA	HGDP00452	[0.03, 0.06)	0.9508996349775496
REF	AFRICA	HGDP00452	[0.06, 0.1)	0.9353384577765022
REF	AFRICA	HGDP00452	[0.1, 0.18)	0.9220464843817301
REF	AFRICA	HGDP00452	[0.18, 0.3)	0.9056203100598028
REF	AFRICA	HGDP00452	[0.3, 0.51)	0.8821228937949893
REF	AFRICA	HGDP00453	[0.01, 0.03)	0.9707734403938297
REF	AFRICA	HGDP00453	[0.03, 0.06)	0.9535807733307491
REF	AFRICA	HGDP00453	[0.06, 0.1)	0.9438969157656365
REF	AFRICA	HGDP00453	[0.1, 0.18)	0.9190744473734084
REF	AFRICA	HGDP00453	[0.18, 0.3)	0.9044109244657754
REF	AFRICA	HGDP00453	[0.3, 0.51)	0.881278401093819
REF	AFRICA	HGDP00462	[0.01, 0.03)	0.9616804674337742
REF	AFRICA	HGDP00462	[0.03, 0.06)	0.938624543721937
REF	AFRICA	HGDP00462	[0.06, 0.1)	0.9290764307509117
REF	AFRICA	HGDP00462	[0.1, 0.18)	0.9079702279423167
REF	AFRICA	HGDP00462	[0.18, 0.3)	0.8945358625680875
REF	AFRICA	HGDP00462	[0.3, 0.51)	0.8808058873205452
REF	AFRICA	HGDP00463	[0.01, 0.03)	0.9607962624416007
REF	AFRICA	HGDP00463	[0.03, 0.06)	0.9343282617824725
REF	AFRICA	HGDP00463	[0.06, 0.1)	0.9245898850721355
REF	AFRICA	HGDP00463	[0.1, 0.18)	0.8993039403180512
REF	AFRICA	HGDP00463	[0.18, 0.3)	0.8932598179255705
REF	AFRICA	HGDP00463	[0.3, 0.51)	0.867786624844171
REF	AFRICA	HGDP00904	[0.01, 0.03)	0.9903095912344219
REF	AFRICA	HGDP00904	[0.03, 0.06)	0.9804029244866536
REF	AFRICA	HGDP00904	[0.06, 0.1)	0.9789387512093474
REF	AFRICA	HGDP00904	[0.1, 0.18)	0.9572112816801917
REF	AFRICA	HGDP00904	[0.18, 0.3)	0.9577952995848094
REF	AFRICA	HGDP00904	[0.3, 0.51)	0.9543973941368079
REF	AFRICA	HGDP00905	[0.01, 0.03)	0.9845264126369622
