sample	maf_bin	num_correct	num_wrong	num_total	accuracy	continent
HGDP00001	[0.01, 0.03)	9079	220	9299	0.9763415421013012	CENTRAL_SOUTH_ASIA
HGDP00001	[0.03, 0.06)	10117	202	10319	0.9804244597344703	CENTRAL_SOUTH_ASIA
HGDP00001	[0.06, 0.1)	10268	183	10451	0.9824897139029758	CENTRAL_SOUTH_ASIA
HGDP00001	[0.1, 0.18)	12608	290	12898	0.9775158939370445	CENTRAL_SOUTH_ASIA
HGDP00001	[0.18, 0.3)	11300	368	11668	0.9684607473431608	CENTRAL_SOUTH_ASIA
HGDP00001	[0.3, 0.51)	10483	569	11052	0.9485161056822294	CENTRAL_SOUTH_ASIA
HGDP00021	[0.01, 0.03)	9120	179	9299	0.9807506183460587	CENTRAL_SOUTH_ASIA
HGDP00021	[0.03, 0.06)	10095	224	10319	0.9782924702006008	CENTRAL_SOUTH_ASIA
HGDP00021	[0.06, 0.1)	10215	236	10451	0.9774184288584824	CENTRAL_SOUTH_ASIA
HGDP00021	[0.1, 0.18)	12451	447	12898	0.9653434641029617	CENTRAL_SOUTH_ASIA
HGDP00021	[0.18, 0.3)	11128	540	11668	0.953719574905725	CENTRAL_SOUTH_ASIA
HGDP00021	[0.3, 0.51)	10415	637	11052	0.9423633731451321	CENTRAL_SOUTH_ASIA
HGDP00023	[0.01, 0.03)	9110	189	9299	0.9796752338961179	CENTRAL_SOUTH_ASIA
HGDP00023	[0.03, 0.06)	10137	182	10319	0.9823626320379881	CENTRAL_SOUTH_ASIA
HGDP00023	[0.06, 0.1)	10268	183	10451	0.9824897139029758	CENTRAL_SOUTH_ASIA
HGDP00023	[0.1, 0.18)	12514	384	12898	0.9702279423166382	CENTRAL_SOUTH_ASIA
HGDP00023	[0.18, 0.3)	11218	450	11668	0.9614329790881042	CENTRAL_SOUTH_ASIA
HGDP00023	[0.3, 0.51)	10494	558	11052	0.9495114006514658	CENTRAL_SOUTH_ASIA
HGDP00039	[0.01, 0.03)	9123	176	9299	0.9810732336810409	CENTRAL_SOUTH_ASIA
HGDP00039	[0.03, 0.06)	10186	133	10319	0.9871111541816068	CENTRAL_SOUTH_ASIA
HGDP00039	[0.06, 0.1)	10272	179	10451	0.9828724523968998	CENTRAL_SOUTH_ASIA
HGDP00039	[0.1, 0.18)	12574	324	12898	0.9748798263296635	CENTRAL_SOUTH_ASIA
HGDP00039	[0.18, 0.3)	11308	360	11668	0.9691463832704834	CENTRAL_SOUTH_ASIA
HGDP00039	[0.3, 0.51)	10586	466	11052	0.9578356858487151	CENTRAL_SOUTH_ASIA
HGDP00052	[0.01, 0.03)	9137	162	9299	0.9825787719109582	CENTRAL_SOUTH_ASIA
HGDP00052	[0.03, 0.06)	10148	171	10319	0.9834286268049229	CENTRAL_SOUTH_ASIA
HGDP00052	[0.06, 0.1)	10146	305	10451	0.970816189838293	CENTRAL_SOUTH_ASIA
HGDP00052	[0.1, 0.18)	12578	320	12898	0.9751899519305318	CENTRAL_SOUTH_ASIA
HGDP00052	[0.18, 0.3)	11145	523	11668	0.9551765512512855	CENTRAL_SOUTH_ASIA
HGDP00052	[0.3, 0.51)	10447	605	11052	0.9452587766920014	CENTRAL_SOUTH_ASIA
HGDP00068	[0.01, 0.03)	9163	136	9299	0.9853747714808044	CENTRAL_SOUTH_ASIA
HGDP00068	[0.03, 0.06)	10155	164	10319	0.9841069871111542	CENTRAL_SOUTH_ASIA
