sample	maf_bin	num_correct	num_wrong	num_total	accuracy	continent
HGDP00001	[0.01, 0.03)	9048	251	9299	0.9730078503064846	CENTRAL_SOUTH_ASIA
HGDP00001	[0.03, 0.06)	10113	206	10319	0.9800368252737668	CENTRAL_SOUTH_ASIA
HGDP00001	[0.06, 0.1)	10174	277	10451	0.9734953592957611	CENTRAL_SOUTH_ASIA
HGDP00001	[0.1, 0.18)	12542	356	12898	0.9723988215227167	CENTRAL_SOUTH_ASIA
HGDP00001	[0.18, 0.3)	11193	475	11668	0.9592903668152211	CENTRAL_SOUTH_ASIA
HGDP00001	[0.3, 0.51)	10360	692	11052	0.9373868982989504	CENTRAL_SOUTH_ASIA
HGDP00021	[0.01, 0.03)	9052	247	9299	0.9734380040864609	CENTRAL_SOUTH_ASIA
HGDP00021	[0.03, 0.06)	10076	243	10319	0.9764512065122589	CENTRAL_SOUTH_ASIA
HGDP00021	[0.06, 0.1)	10182	269	10451	0.9742608362836093	CENTRAL_SOUTH_ASIA
HGDP00021	[0.1, 0.18)	12375	523	12898	0.959451077686463	CENTRAL_SOUTH_ASIA
HGDP00021	[0.18, 0.3)	11098	570	11668	0.9511484401782654	CENTRAL_SOUTH_ASIA
HGDP00021	[0.3, 0.51)	10411	641	11052	0.9420014477017734	CENTRAL_SOUTH_ASIA
HGDP00023	[0.01, 0.03)	9086	213	9299	0.9770943112162598	CENTRAL_SOUTH_ASIA
HGDP00023	[0.03, 0.06)	10106	213	10319	0.9793584649675356	CENTRAL_SOUTH_ASIA
HGDP00023	[0.06, 0.1)	10233	218	10451	0.9791407520811406	CENTRAL_SOUTH_ASIA
HGDP00023	[0.1, 0.18)	12530	368	12898	0.9714684447201116	CENTRAL_SOUTH_ASIA
HGDP00023	[0.18, 0.3)	11101	567	11668	0.9514055536510113	CENTRAL_SOUTH_ASIA
HGDP00023	[0.3, 0.51)	10345	707	11052	0.9360296778863554	CENTRAL_SOUTH_ASIA
HGDP00039	[0.01, 0.03)	9123	176	9299	0.9810732336810409	CENTRAL_SOUTH_ASIA
HGDP00039	[0.03, 0.06)	10160	159	10319	0.9845915301870336	CENTRAL_SOUTH_ASIA
HGDP00039	[0.06, 0.1)	10181	270	10451	0.9741651516601282	CENTRAL_SOUTH_ASIA
HGDP00039	[0.1, 0.18)	12508	390	12898	0.9697627539153357	CENTRAL_SOUTH_ASIA
HGDP00039	[0.18, 0.3)	11303	365	11668	0.9687178608159067	CENTRAL_SOUTH_ASIA
HGDP00039	[0.3, 0.51)	10569	483	11052	0.9562975027144408	CENTRAL_SOUTH_ASIA
HGDP00052	[0.01, 0.03)	9112	187	9299	0.979890310786106	CENTRAL_SOUTH_ASIA
HGDP00052	[0.03, 0.06)	10116	203	10319	0.9803275511192945	CENTRAL_SOUTH_ASIA
HGDP00052	[0.06, 0.1)	10137	314	10451	0.9699550282269639	CENTRAL_SOUTH_ASIA
HGDP00052	[0.1, 0.18)	12514	384	12898	0.9702279423166382	CENTRAL_SOUTH_ASIA
HGDP00052	[0.18, 0.3)	11130	538	11668	0.9538909838875557	CENTRAL_SOUTH_ASIA
HGDP00052	[0.3, 0.51)	10351	701	11052	0.9365725660513934	CENTRAL_SOUTH_ASIA
HGDP00068	[0.01, 0.03)	9139	160	9299	0.9827938488009463	CENTRAL_SOUTH_ASIA
HGDP00068	[0.03, 0.06)	10158	161	10319	0.9843977129566819	CENTRAL_SOUTH_ASIA
HGDP00068	[0.06, 0.1)	10273	178	10451	0.9829681370203808	CENTRAL_SOUTH_ASIA
HGDP00068	[0.1, 0.18)	12593	305	12898	0.9763529229337882	CENTRAL_SOUTH_ASIA
HGDP00068	[0.18, 0.3)	11249	419	11668	0.9640898183064792	CENTRAL_SOUTH_ASIA
HGDP00068	[0.3, 0.51)	10627	425	11052	0.9615454216431415	CENTRAL_SOUTH_ASIA
HGDP00086	[0.01, 0.03)	9098	201	9299	0.9783847725561888	CENTRAL_SOUTH_ASIA
HGDP00086	[0.03, 0.06)	10092	227	10319	0.9780017443550731	CENTRAL_SOUTH_ASIA
HGDP00086	[0.06, 0.1)	10237	214	10451	0.9795234905750646	CENTRAL_SOUTH_ASIA
HGDP00086	[0.1, 0.18)	12533	365	12898	0.9717010389207629	CENTRAL_SOUTH_ASIA
HGDP00086	[0.18, 0.3)	11226	442	11668	0.9621186150154268	CENTRAL_SOUTH_ASIA
HGDP00086	[0.3, 0.51)	10420	632	11052	0.9428157799493304	CENTRAL_SOUTH_ASIA
HGDP00092	[0.01, 0.03)	9165	134	9299	0.9855898483707926	CENTRAL_SOUTH_ASIA
