sample	maf_bin	num_correct	num_wrong	num_total	accuracy	continent
HGDP00001	[0.01, 0.03)	9078	221	9299	0.9762340036563071	CENTRAL_SOUTH_ASIA
HGDP00001	[0.03, 0.06)	10099	220	10319	0.9786801046613044	CENTRAL_SOUTH_ASIA
HGDP00001	[0.06, 0.1)	10261	190	10451	0.9818199215386088	CENTRAL_SOUTH_ASIA
HGDP00001	[0.1, 0.18)	12596	302	12898	0.9765855171344394	CENTRAL_SOUTH_ASIA
HGDP00001	[0.18, 0.3)	11236	432	11668	0.96297565992458	CENTRAL_SOUTH_ASIA
HGDP00001	[0.3, 0.51)	10421	631	11052	0.9429062613101701	CENTRAL_SOUTH_ASIA
HGDP00021	[0.01, 0.03)	9076	223	9299	0.976018926766319	CENTRAL_SOUTH_ASIA
HGDP00021	[0.03, 0.06)	10112	207	10319	0.9799399166585909	CENTRAL_SOUTH_ASIA
HGDP00021	[0.06, 0.1)	10211	240	10451	0.9770356903645584	CENTRAL_SOUTH_ASIA
HGDP00021	[0.1, 0.18)	12543	355	12898	0.9724763529229338	CENTRAL_SOUTH_ASIA
HGDP00021	[0.18, 0.3)	11139	529	11668	0.9546623243057937	CENTRAL_SOUTH_ASIA
HGDP00021	[0.3, 0.51)	10380	672	11052	0.9391965255157437	CENTRAL_SOUTH_ASIA
HGDP00023	[0.01, 0.03)	9118	181	9299	0.9805355414560706	CENTRAL_SOUTH_ASIA
HGDP00023	[0.03, 0.06)	10109	210	10319	0.9796491908130632	CENTRAL_SOUTH_ASIA
HGDP00023	[0.06, 0.1)	10260	191	10451	0.9817242369151278	CENTRAL_SOUTH_ASIA
HGDP00023	[0.1, 0.18)	12505	393	12898	0.9695301597146845	CENTRAL_SOUTH_ASIA
HGDP00023	[0.18, 0.3)	11148	520	11668	0.9554336647240316	CENTRAL_SOUTH_ASIA
HGDP00023	[0.3, 0.51)	10372	680	11052	0.9384726746290264	CENTRAL_SOUTH_ASIA
HGDP00039	[0.01, 0.03)	9111	188	9299	0.979782772341112	CENTRAL_SOUTH_ASIA
HGDP00039	[0.03, 0.06)	10161	158	10319	0.9846884388022095	CENTRAL_SOUTH_ASIA
HGDP00039	[0.06, 0.1)	10245	206	10451	0.9802889675629126	CENTRAL_SOUTH_ASIA
HGDP00039	[0.1, 0.18)	12517	381	12898	0.9704605365172895	CENTRAL_SOUTH_ASIA
HGDP00039	[0.18, 0.3)	11208	460	11668	0.9605759341789509	CENTRAL_SOUTH_ASIA
HGDP00039	[0.3, 0.51)	10570	482	11052	0.9563879840752805	CENTRAL_SOUTH_ASIA
HGDP00052	[0.01, 0.03)	9128	171	9299	0.9816109259060114	CENTRAL_SOUTH_ASIA
HGDP00052	[0.03, 0.06)	10135	184	10319	0.9821688148076364	CENTRAL_SOUTH_ASIA
HGDP00052	[0.06, 0.1)	10148	303	10451	0.971007559085255	CENTRAL_SOUTH_ASIA
HGDP00052	[0.1, 0.18)	12572	326	12898	0.9747247635292293	CENTRAL_SOUTH_ASIA
HGDP00052	[0.18, 0.3)	11197	471	11668	0.9596331847788824	CENTRAL_SOUTH_ASIA
HGDP00052	[0.3, 0.51)	10415	637	11052	0.9423633731451321	CENTRAL_SOUTH_ASIA
HGDP00068	[0.01, 0.03)	9152	147	9299	0.9841918485858695	CENTRAL_SOUTH_ASIA
HGDP00068	[0.03, 0.06)	10142	177	10319	0.9828471751138677	CENTRAL_SOUTH_ASIA
HGDP00068	[0.06, 0.1)	10306	145	10451	0.986125729595254	CENTRAL_SOUTH_ASIA
HGDP00068	[0.1, 0.18)	12636	262	12898	0.9796867731431229	CENTRAL_SOUTH_ASIA
HGDP00068	[0.18, 0.3)	11275	393	11668	0.9663181350702776	CENTRAL_SOUTH_ASIA
HGDP00068	[0.3, 0.51)	10596	456	11052	0.9587404994571118	CENTRAL_SOUTH_ASIA
HGDP00086	[0.01, 0.03)	9098	201	9299	0.9783847725561888	CENTRAL_SOUTH_ASIA
HGDP00086	[0.03, 0.06)	10082	237	10319	0.9770326582033143	CENTRAL_SOUTH_ASIA
HGDP00086	[0.06, 0.1)	10206	245	10451	0.9765572672471534	CENTRAL_SOUTH_ASIA
HGDP00086	[0.1, 0.18)	12537	361	12898	0.9720111645216313	CENTRAL_SOUTH_ASIA
HGDP00086	[0.18, 0.3)	11211	457	11668	0.960833047651697	CENTRAL_SOUTH_ASIA
HGDP00086	[0.3, 0.51)	10542	510	11052	0.9538545059717698	CENTRAL_SOUTH_ASIA
HGDP00092	[0.01, 0.03)	9157	142	9299	0.9847295408108399	CENTRAL_SOUTH_ASIA
HGDP00092	[0.03, 0.06)	10146	173	10319	0.9832348095745712	CENTRAL_SOUTH_ASIA
HGDP00092	[0.06, 0.1)	10284	167	10451	0.9840206678786719	CENTRAL_SOUTH_ASIA
HGDP00092	[0.1, 0.18)	12596	302	12898	0.9765855171344394	CENTRAL_SOUTH_ASIA
HGDP00092	[0.18, 0.3)	11241	427	11668	0.9634041823791567	CENTRAL_SOUTH_ASIA
HGDP00092	[0.3, 0.51)	10416	636	11052	0.9424538545059717	CENTRAL_SOUTH_ASIA
HGDP00099	[0.01, 0.03)	9149	150	9299	0.9838692332508872	CENTRAL_SOUTH_ASIA
HGDP00099	[0.03, 0.06)	10197	122	10319	0.9881771489485415	CENTRAL_SOUTH_ASIA
HGDP00099	[0.06, 0.1)	10238	213	10451	0.9796191751985456	CENTRAL_SOUTH_ASIA
HGDP00099	[0.1, 0.18)	12613	285	12898	0.97790355093813	CENTRAL_SOUTH_ASIA
HGDP00099	[0.18, 0.3)	11212	456	11668	0.9609187521426122	CENTRAL_SOUTH_ASIA
HGDP00099	[0.3, 0.51)	10405	647	11052	0.9414585595367354	CENTRAL_SOUTH_ASIA
HGDP00100	[0.01, 0.03)	9138	161	9299	0.9826863103559522	CENTRAL_SOUTH_ASIA
HGDP00100	[0.03, 0.06)	10180	139	10319	0.9865297024905514	CENTRAL_SOUTH_ASIA
