sample	maf_bin	num_correct	num_wrong	num_total	accuracy	continent
HGDP00001	[0.01, 0.03)	9100	199	9299	0.9785998494461771	CENTRAL_SOUTH_ASIA
HGDP00001	[0.03, 0.06)	10121	198	10319	0.9808120941951739	CENTRAL_SOUTH_ASIA
HGDP00001	[0.06, 0.1)	10272	179	10451	0.9828724523968998	CENTRAL_SOUTH_ASIA
HGDP00001	[0.1, 0.18)	12640	258	12898	0.9799968987439913	CENTRAL_SOUTH_ASIA
HGDP00001	[0.18, 0.3)	11269	399	11668	0.9658039081247858	CENTRAL_SOUTH_ASIA
HGDP00001	[0.3, 0.51)	10481	571	11052	0.9483351429605501	CENTRAL_SOUTH_ASIA
HGDP00021	[0.01, 0.03)	9084	215	9299	0.9768792343262717	CENTRAL_SOUTH_ASIA
HGDP00021	[0.03, 0.06)	10094	225	10319	0.978195561585425	CENTRAL_SOUTH_ASIA
HGDP00021	[0.06, 0.1)	10205	246	10451	0.9764615826236723	CENTRAL_SOUTH_ASIA
HGDP00021	[0.1, 0.18)	12438	460	12898	0.9643355559001395	CENTRAL_SOUTH_ASIA
HGDP00021	[0.18, 0.3)	11138	530	11668	0.9545766198148783	CENTRAL_SOUTH_ASIA
HGDP00021	[0.3, 0.51)	10401	651	11052	0.9410966340933767	CENTRAL_SOUTH_ASIA
HGDP00023	[0.01, 0.03)	9113	186	9299	0.9799978492311001	CENTRAL_SOUTH_ASIA
HGDP00023	[0.03, 0.06)	10135	184	10319	0.9821688148076364	CENTRAL_SOUTH_ASIA
HGDP00023	[0.06, 0.1)	10265	186	10451	0.9822026600325328	CENTRAL_SOUTH_ASIA
HGDP00023	[0.1, 0.18)	12549	349	12898	0.9729415413242363	CENTRAL_SOUTH_ASIA
HGDP00023	[0.18, 0.3)	11184	484	11668	0.9585190263969832	CENTRAL_SOUTH_ASIA
HGDP00023	[0.3, 0.51)	10501	551	11052	0.9501447701773434	CENTRAL_SOUTH_ASIA
HGDP00039	[0.01, 0.03)	9127	172	9299	0.9815033874610173	CENTRAL_SOUTH_ASIA
HGDP00039	[0.03, 0.06)	10181	138	10319	0.9866266111057272	CENTRAL_SOUTH_ASIA
HGDP00039	[0.06, 0.1)	10251	200	10451	0.9808630753037987	CENTRAL_SOUTH_ASIA
HGDP00039	[0.1, 0.18)	12569	329	12898	0.9744921693285781	CENTRAL_SOUTH_ASIA
HGDP00039	[0.18, 0.3)	11339	329	11668	0.9718032224888584	CENTRAL_SOUTH_ASIA
HGDP00039	[0.3, 0.51)	10589	463	11052	0.9581071299312341	CENTRAL_SOUTH_ASIA
HGDP00052	[0.01, 0.03)	9128	171	9299	0.9816109259060114	CENTRAL_SOUTH_ASIA
HGDP00052	[0.03, 0.06)	10140	179	10319	0.9826533578835158	CENTRAL_SOUTH_ASIA
HGDP00052	[0.06, 0.1)	10141	310	10451	0.970337766720888	CENTRAL_SOUTH_ASIA
HGDP00052	[0.1, 0.18)	12597	301	12898	0.9766630485346566	CENTRAL_SOUTH_ASIA
HGDP00052	[0.18, 0.3)	11233	435	11668	0.9627185464518341	CENTRAL_SOUTH_ASIA
HGDP00052	[0.3, 0.51)	10382	670	11052	0.9393774882374231	CENTRAL_SOUTH_ASIA
HGDP00068	[0.01, 0.03)	9160	139	9299	0.9850521561458221	CENTRAL_SOUTH_ASIA
HGDP00068	[0.03, 0.06)	10142	177	10319	0.9828471751138677	CENTRAL_SOUTH_ASIA
HGDP00068	[0.06, 0.1)	10306	145	10451	0.986125729595254	CENTRAL_SOUTH_ASIA
HGDP00068	[0.1, 0.18)	12664	234	12898	0.9818576523492014	CENTRAL_SOUTH_ASIA
HGDP00068	[0.18, 0.3)	11272	396	11668	0.9660610215975317	CENTRAL_SOUTH_ASIA
HGDP00068	[0.3, 0.51)	10585	467	11052	0.9577452044878755	CENTRAL_SOUTH_ASIA
HGDP00086	[0.01, 0.03)	9104	195	9299	0.9790300032261533	CENTRAL_SOUTH_ASIA
HGDP00086	[0.03, 0.06)	10090	229	10319	0.9778079271247214	CENTRAL_SOUTH_ASIA
HGDP00086	[0.06, 0.1)	10241	210	10451	0.9799062290689886	CENTRAL_SOUTH_ASIA
HGDP00086	[0.1, 0.18)	12539	359	12898	0.9721662273220655	CENTRAL_SOUTH_ASIA
HGDP00086	[0.18, 0.3)	11262	406	11668	0.9652039766883784	CENTRAL_SOUTH_ASIA
HGDP00086	[0.3, 0.51)	10483	569	11052	0.9485161056822294	CENTRAL_SOUTH_ASIA
HGDP00092	[0.01, 0.03)	9174	125	9299	0.9865576943757394	CENTRAL_SOUTH_ASIA
HGDP00092	[0.03, 0.06)	10189	130	10319	0.9874018800271344	CENTRAL_SOUTH_ASIA
HGDP00092	[0.06, 0.1)	10291	160	10451	0.984690460243039	CENTRAL_SOUTH_ASIA
HGDP00092	[0.1, 0.18)	12601	297	12898	0.9769731741355249	CENTRAL_SOUTH_ASIA
HGDP00092	[0.18, 0.3)	11274	394	11668	0.9662324305793624	CENTRAL_SOUTH_ASIA
HGDP00092	[0.3, 0.51)	10448	604	11052	0.9453492580528411	CENTRAL_SOUTH_ASIA
HGDP00099	[0.01, 0.03)	9159	140	9299	0.9849446177008281	CENTRAL_SOUTH_ASIA
HGDP00099	[0.03, 0.06)	10185	134	10319	0.9870142455664308	CENTRAL_SOUTH_ASIA
HGDP00099	[0.06, 0.1)	10286	165	10451	0.9842120371256339	CENTRAL_SOUTH_ASIA
HGDP00099	[0.1, 0.18)	12632	266	12898	0.9793766475422546	CENTRAL_SOUTH_ASIA
HGDP00099	[0.18, 0.3)	11292	376	11668	0.9677751114158382	CENTRAL_SOUTH_ASIA
HGDP00099	[0.3, 0.51)	10508	544	11052	0.9507781397032211	CENTRAL_SOUTH_ASIA
HGDP00100	[0.01, 0.03)	9150	149	9299	0.9839767716958813	CENTRAL_SOUTH_ASIA
HGDP00100	[0.03, 0.06)	10165	154	10319	0.985076073262913	CENTRAL_SOUTH_ASIA
HGDP00100	[0.06, 0.1)	10293	158	10451	0.9848818294900009	CENTRAL_SOUTH_ASIA
HGDP00100	[0.1, 0.18)	12585	313	12898	0.9757326717320515	CENTRAL_SOUTH_ASIA
HGDP00100	[0.18, 0.3)	11234	434	11668	0.9628042509427494	CENTRAL_SOUTH_ASIA
HGDP00100	[0.3, 0.51)	10355	697	11052	0.936934491494752	CENTRAL_SOUTH_ASIA
HGDP00105	[0.01, 0.03)	9135	164	9299	0.98236369502097	CENTRAL_SOUTH_ASIA
HGDP00105	[0.03, 0.06)	10115	204	10319	0.9802306425041186	CENTRAL_SOUTH_ASIA
HGDP00105	[0.06, 0.1)	10202	249	10451	0.9761745287532294	CENTRAL_SOUTH_ASIA
HGDP00105	[0.1, 0.18)	12517	381	12898	0.9704605365172895	CENTRAL_SOUTH_ASIA
HGDP00105	[0.18, 0.3)	11149	519	11668	0.9555193692149468	CENTRAL_SOUTH_ASIA
HGDP00105	[0.3, 0.51)	10468	584	11052	0.9471588852696344	CENTRAL_SOUTH_ASIA
HGDP00118	[0.01, 0.03)	9168	131	9299	0.9859124637057748	CENTRAL_SOUTH_ASIA
HGDP00118	[0.03, 0.06)	10210	109	10319	0.9894369609458281	CENTRAL_SOUTH_ASIA
HGDP00118	[0.06, 0.1)	10264	187	10451	0.9821069754090518	CENTRAL_SOUTH_ASIA
HGDP00118	[0.1, 0.18)	12564	334	12898	0.9741045123274926	CENTRAL_SOUTH_ASIA
HGDP00118	[0.18, 0.3)	11193	475	11668	0.9592903668152211	CENTRAL_SOUTH_ASIA
HGDP00118	[0.3, 0.51)	10582	470	11052	0.9574737604053565	CENTRAL_SOUTH_ASIA
HGDP00131	[0.01, 0.03)	9113	186	9299	0.9799978492311001	CENTRAL_SOUTH_ASIA
