sample	maf_bin	num_correct	num_wrong	num_total	accuracy	continent
HGDP00001	[0.01, 0.03)	9074	225	9299	0.9758038498763308	CENTRAL_SOUTH_ASIA
HGDP00001	[0.03, 0.06)	10113	206	10319	0.9800368252737668	CENTRAL_SOUTH_ASIA
HGDP00001	[0.06, 0.1)	10174	277	10451	0.9734953592957611	CENTRAL_SOUTH_ASIA
HGDP00001	[0.1, 0.18)	12584	314	12898	0.9756551403318344	CENTRAL_SOUTH_ASIA
HGDP00001	[0.18, 0.3)	11171	497	11668	0.957404868015084	CENTRAL_SOUTH_ASIA
HGDP00001	[0.3, 0.51)	10343	709	11052	0.935848715164676	CENTRAL_SOUTH_ASIA
HGDP00021	[0.01, 0.03)	9076	223	9299	0.976018926766319	CENTRAL_SOUTH_ASIA
HGDP00021	[0.03, 0.06)	10096	223	10319	0.9783893788157767	CENTRAL_SOUTH_ASIA
HGDP00021	[0.06, 0.1)	10180	271	10451	0.9740694670366472	CENTRAL_SOUTH_ASIA
HGDP00021	[0.1, 0.18)	12385	513	12898	0.9602263916886339	CENTRAL_SOUTH_ASIA
HGDP00021	[0.18, 0.3)	11071	597	11668	0.9488344189235516	CENTRAL_SOUTH_ASIA
HGDP00021	[0.3, 0.51)	10408	644	11052	0.9417300036192544	CENTRAL_SOUTH_ASIA
HGDP00023	[0.01, 0.03)	9097	202	9299	0.9782772341111947	CENTRAL_SOUTH_ASIA
HGDP00023	[0.03, 0.06)	10121	198	10319	0.9808120941951739	CENTRAL_SOUTH_ASIA
HGDP00023	[0.06, 0.1)	10274	177	10451	0.9830638216438619	CENTRAL_SOUTH_ASIA
HGDP00023	[0.1, 0.18)	12545	353	12898	0.972631415723368	CENTRAL_SOUTH_ASIA
HGDP00023	[0.18, 0.3)	11145	523	11668	0.9551765512512855	CENTRAL_SOUTH_ASIA
HGDP00023	[0.3, 0.51)	10448	604	11052	0.9453492580528411	CENTRAL_SOUTH_ASIA
HGDP00039	[0.01, 0.03)	9121	178	9299	0.9808581567910528	CENTRAL_SOUTH_ASIA
HGDP00039	[0.03, 0.06)	10153	166	10319	0.9839131698808024	CENTRAL_SOUTH_ASIA
HGDP00039	[0.06, 0.1)	10219	232	10451	0.9778011673524065	CENTRAL_SOUTH_ASIA
HGDP00039	[0.1, 0.18)	12500	398	12898	0.969142502713599	CENTRAL_SOUTH_ASIA
HGDP00039	[0.18, 0.3)	11287	381	11668	0.9673465889612616	CENTRAL_SOUTH_ASIA
HGDP00039	[0.3, 0.51)	10534	518	11052	0.9531306550850525	CENTRAL_SOUTH_ASIA
HGDP00052	[0.01, 0.03)	9113	186	9299	0.9799978492311001	CENTRAL_SOUTH_ASIA
HGDP00052	[0.03, 0.06)	10119	200	10319	0.9806182769648222	CENTRAL_SOUTH_ASIA
HGDP00052	[0.06, 0.1)	10124	327	10451	0.9687111281217109	CENTRAL_SOUTH_ASIA
HGDP00052	[0.1, 0.18)	12551	347	12898	0.9730966041246705	CENTRAL_SOUTH_ASIA
HGDP00052	[0.18, 0.3)	11174	494	11668	0.95766198148783	CENTRAL_SOUTH_ASIA
HGDP00052	[0.3, 0.51)	10296	756	11052	0.9315960912052117	CENTRAL_SOUTH_ASIA
HGDP00068	[0.01, 0.03)	9137	162	9299	0.9825787719109582	CENTRAL_SOUTH_ASIA
HGDP00068	[0.03, 0.06)	10144	175	10319	0.9830409923442194	CENTRAL_SOUTH_ASIA
HGDP00068	[0.06, 0.1)	10287	164	10451	0.984307721749115	CENTRAL_SOUTH_ASIA
HGDP00068	[0.1, 0.18)	12555	343	12898	0.9734067297255389	CENTRAL_SOUTH_ASIA
HGDP00068	[0.18, 0.3)	11176	492	11668	0.9578333904696607	CENTRAL_SOUTH_ASIA
HGDP00068	[0.3, 0.51)	10588	464	11052	0.9580166485703945	CENTRAL_SOUTH_ASIA
HGDP00086	[0.01, 0.03)	9101	198	9299	0.9787073878911711	CENTRAL_SOUTH_ASIA
HGDP00086	[0.03, 0.06)	10085	234	10319	0.9773233840488419	CENTRAL_SOUTH_ASIA
HGDP00086	[0.06, 0.1)	10232	219	10451	0.9790450674576595	CENTRAL_SOUTH_ASIA
HGDP00086	[0.1, 0.18)	12512	386	12898	0.970072879516204	CENTRAL_SOUTH_ASIA
HGDP00086	[0.18, 0.3)	11196	472	11668	0.9595474802879671	CENTRAL_SOUTH_ASIA
HGDP00086	[0.3, 0.51)	10413	639	11052	0.9421824104234527	CENTRAL_SOUTH_ASIA
HGDP00092	[0.01, 0.03)	9148	151	9299	0.9837616948058931	CENTRAL_SOUTH_ASIA
HGDP00092	[0.03, 0.06)	10148	171	10319	0.9834286268049229	CENTRAL_SOUTH_ASIA
HGDP00092	[0.06, 0.1)	10278	173	10451	0.9834465601377859	CENTRAL_SOUTH_ASIA
HGDP00092	[0.1, 0.18)	12600	298	12898	0.9768956427353078	CENTRAL_SOUTH_ASIA
HGDP00092	[0.18, 0.3)	11210	458	11668	0.9607473431607816	CENTRAL_SOUTH_ASIA
HGDP00092	[0.3, 0.51)	10429	623	11052	0.9436301121968874	CENTRAL_SOUTH_ASIA
HGDP00099	[0.01, 0.03)	9145	154	9299	0.9834390794709108	CENTRAL_SOUTH_ASIA
HGDP00099	[0.03, 0.06)	10173	146	10319	0.9858513421843201	CENTRAL_SOUTH_ASIA
