ref	continent	sample	maf_bin	accuracy
noREF	AFRICA	HGDP00452	[0.01, 0.03)	0.9614534418276757
noREF	AFRICA	HGDP00452	[0.03, 0.06)	0.9464741415511839
noREF	AFRICA	HGDP00452	[0.06, 0.1)	0.9283534802623886
noREF	AFRICA	HGDP00452	[0.1, 0.18)	0.9151720335624817
noREF	AFRICA	HGDP00452	[0.18, 0.3)	0.8986877690168744
noREF	AFRICA	HGDP00452	[0.3, 0.51)	0.873064704226485
noREF	AFRICA	HGDP00453	[0.01, 0.03)	0.9691006201383661
noREF	AFRICA	HGDP00453	[0.03, 0.06)	0.9508565644819158
noREF	AFRICA	HGDP00453	[0.06, 0.1)	0.9396230025834849
noREF	AFRICA	HGDP00453	[0.1, 0.18)	0.9129063937561379
noREF	AFRICA	HGDP00453	[0.18, 0.3)	0.8948405896468975
noREF	AFRICA	HGDP00453	[0.3, 0.51)	0.8695861985764266
noREF	AFRICA	HGDP00462	[0.01, 0.03)	0.9569487758540345
noREF	AFRICA	HGDP00462	[0.03, 0.06)	0.9335314576132485
noREF	AFRICA	HGDP00462	[0.06, 0.1)	0.9218469258656801
noREF	AFRICA	HGDP00462	[0.1, 0.18)	0.8996312951189677
noREF	AFRICA	HGDP00462	[0.18, 0.3)	0.8831657334399878
noREF	AFRICA	HGDP00462	[0.3, 0.51)	0.8659669441428399
noREF	AFRICA	HGDP00463	[0.01, 0.03)	0.9598881600172062
noREF	AFRICA	HGDP00463	[0.03, 0.06)	0.9288044707174468
noREF	AFRICA	HGDP00463	[0.06, 0.1)	0.9210920805026633
noREF	AFRICA	HGDP00463	[0.1, 0.18)	0.8924725624989231
noREF	AFRICA	HGDP00463	[0.18, 0.3)	0.8891745705252733
noREF	AFRICA	HGDP00463	[0.3, 0.51)	0.8607391321832147
noREF	AFRICA	HGDP00904	[0.01, 0.03)	0.9853747714808043
noREF	AFRICA	HGDP00904	[0.03, 0.06)	0.9713365851557536
noREF	AFRICA	HGDP00904	[0.06, 0.1)	0.9636611063268798
noREF	AFRICA	HGDP00904	[0.1, 0.18)	0.9402232904326253
noREF	AFRICA	HGDP00904	[0.18, 0.3)	0.9386831981106921
noREF	AFRICA	HGDP00904	[0.3, 0.51)	0.9280472111633892
noREF	AFRICA	HGDP00905	[0.01, 0.03)	0.9806191824688438
