sample	maf_bin	num_correct	num_wrong	num_total	accuracy	continent
HGDP00001	[0.01, 0.03)	9090	209	9299	0.9775244649962361	CENTRAL_SOUTH_ASIA
HGDP00001	[0.03, 0.06)	10133	186	10319	0.9819749975772846	CENTRAL_SOUTH_ASIA
HGDP00001	[0.06, 0.1)	10275	176	10451	0.9831595062673428	CENTRAL_SOUTH_ASIA
HGDP00001	[0.1, 0.18)	12649	249	12898	0.9806946813459451	CENTRAL_SOUTH_ASIA
HGDP00001	[0.18, 0.3)	11285	383	11668	0.9671751799794309	CENTRAL_SOUTH_ASIA
HGDP00001	[0.3, 0.51)	10517	535	11052	0.9515924719507781	CENTRAL_SOUTH_ASIA
HGDP00021	[0.01, 0.03)	9104	195	9299	0.9790300032261533	CENTRAL_SOUTH_ASIA
HGDP00021	[0.03, 0.06)	10101	218	10319	0.9788739218916561	CENTRAL_SOUTH_ASIA
HGDP00021	[0.06, 0.1)	10223	228	10451	0.9781839058463305	CENTRAL_SOUTH_ASIA
HGDP00021	[0.1, 0.18)	12457	441	12898	0.9658086525042642	CENTRAL_SOUTH_ASIA
HGDP00021	[0.18, 0.3)	11126	542	11668	0.9535481659238945	CENTRAL_SOUTH_ASIA
HGDP00021	[0.3, 0.51)	10446	606	11052	0.9451682953311618	CENTRAL_SOUTH_ASIA
HGDP00023	[0.01, 0.03)	9095	204	9299	0.9780621572212066	CENTRAL_SOUTH_ASIA
HGDP00023	[0.03, 0.06)	10126	193	10319	0.9812966372710534	CENTRAL_SOUTH_ASIA
HGDP00023	[0.06, 0.1)	10264	187	10451	0.9821069754090518	CENTRAL_SOUTH_ASIA
HGDP00023	[0.1, 0.18)	12540	358	12898	0.9722437587222825	CENTRAL_SOUTH_ASIA
HGDP00023	[0.18, 0.3)	11243	425	11668	0.9635755913609874	CENTRAL_SOUTH_ASIA
HGDP00023	[0.3, 0.51)	10461	591	11052	0.9465255157437568	CENTRAL_SOUTH_ASIA
HGDP00039	[0.01, 0.03)	9124	175	9299	0.981180772126035	CENTRAL_SOUTH_ASIA
HGDP00039	[0.03, 0.06)	10164	155	10319	0.9849791646477372	CENTRAL_SOUTH_ASIA
HGDP00039	[0.06, 0.1)	10261	190	10451	0.9818199215386088	CENTRAL_SOUTH_ASIA
HGDP00039	[0.1, 0.18)	12570	328	12898	0.9745697007287951	CENTRAL_SOUTH_ASIA
HGDP00039	[0.18, 0.3)	11277	391	11668	0.9664895440521083	CENTRAL_SOUTH_ASIA
HGDP00039	[0.3, 0.51)	10542	510	11052	0.9538545059717698	CENTRAL_SOUTH_ASIA
HGDP00052	[0.01, 0.03)	9139	160	9299	0.9827938488009463	CENTRAL_SOUTH_ASIA
HGDP00052	[0.03, 0.06)	10137	182	10319	0.9823626320379881	CENTRAL_SOUTH_ASIA
