index	acc	method	ref	continents
0	0.9759451746940612	SNPBag	SNPBag	CSA
1	0.9754127860069276	SNPBag	SNPBag	CSA
2	0.9424650073051452	SNPBag	SNPBag	AFR
3	0.9612768292427064	SNPBag	SNPBag	AFR
4	0.963653028011322	SNPBag	SNPBag	AFR
5	0.969568371772766	SNPBag	SNPBag	OC
6	0.9665067791938782	SNPBag	SNPBag	OC
7	0.9658902883529664	SNPBag	SNPBag	OC
8	0.9677297472953796	SNPBag	SNPBag	OC
9	0.9775181412696838	SNPBag	SNPBag	ME
10	0.9835875630378724	SNPBag	SNPBag	ME
11	0.9855509996414183	SNPBag	SNPBag	EUR
12	0.982007384300232	SNPBag	SNPBag	EAS
13	0.986527681350708	SNPBag	SNPBag	EAS
14	0.9752782583236694	SNPBag	SNPBag	AFR
15	0.9842095971107484	SNPBag	SNPBag	AFR
16	0.9723496437072754	SNPBag	SNPBag	EAS
17	0.964607000350952	SNPBag	SNPBag	EAS
18	0.9886673092842102	SNPBag	SNPBag	AMR
19	0.9771050214767456	SNPBag	SNPBag	AMR
20	0.9165871739387512	SNPBag	SNPBag	AFR
21	0.9866364598274232	SNPBag	SNPBag	AMR
22	0.9884335398674012	SNPBag	SNPBag	AMR
23	0.9883857369422911	SNPBag	SNPBag	EUR
24	0.940114200115204	SNPBag	SNPBag	AFR
25	0.9155110120773317	SNPBag	SNPBag	AFR
0	0.9777270555496216	eagle_REF	REF	CSA
1	0.9758315682411194	eagle_REF	REF	CSA
2	0.9563981890678406	eagle_REF	REF	AFR
3	0.9733778238296508	eagle_REF	REF	AFR
4	0.9696395993232728	eagle_REF	REF	AFR
5	0.9688409566879272	eagle_REF	REF	OC
6	0.9693520665168762	eagle_REF	REF	OC
7	0.9695242643356324	eagle_REF	REF	OC
8	0.9727306962013244	eagle_REF	REF	OC
9	0.9796138405799866	eagle_REF	REF	ME
10	0.985963761806488	eagle_REF	REF	ME
11	0.9892817139625548	eagle_REF	REF	EUR
12	0.9837126135826112	eagle_REF	REF	EAS
13	0.9853202700614928	eagle_REF	REF	EAS
14	0.9797675609588624	eagle_REF	REF	AFR
15	0.99033123254776	eagle_REF	REF	AFR
16	0.9721636772155762	eagle_REF	REF	EAS
17	0.965930163860321	eagle_REF	REF	EAS
18	0.9893472194671632	eagle_REF	REF	AMR
19	0.9765778183937072	eagle_REF	REF	AMR
20	0.921800434589386	eagle_REF	REF	AFR
21	0.9880431294441224	eagle_REF	REF	AMR
22	0.9883424639701844	eagle_REF	REF	AMR
23	0.991494596004486	eagle_REF	REF	EUR
24	0.9546038508415222	eagle_REF	REF	AFR
25	0.92229425907135	eagle_REF	REF	AFR
0	0.9373016357421876	eagle_noREF	noREF	CSA
1	0.9333572387695312	eagle_noREF	noREF	CSA
2	0.8965063095092773	eagle_noREF	noREF	AFR
3	0.8917451500892639	eagle_noREF	noREF	AFR
4	0.8998167514801025	eagle_noREF	noREF	AFR
5	0.9476236701011658	eagle_noREF	noREF	OC
6	0.9482969045639038	eagle_noREF	noREF	OC
7	0.9456557631492616	eagle_noREF	noREF	OC
8	0.9490469694137572	eagle_noREF	noREF	OC
9	0.9288073182106018	eagle_noREF	noREF	ME
10	0.943689227104187	eagle_noREF	noREF	ME
11	0.937703549861908	eagle_noREF	noREF	EUR
12	0.94996178150177	eagle_noREF	noREF	EAS
13	0.9517030715942384	eagle_noREF	noREF	EAS
14	0.8915810585021973	eagle_noREF	noREF	AFR
15	0.9148692488670348	eagle_noREF	noREF	AFR
16	0.9393056631088256	eagle_noREF	noREF	EAS
17	0.9422466158866882	eagle_noREF	noREF	EAS
18	0.9638108015060424	eagle_noREF	noREF	AMR
19	0.9527790546417236	eagle_noREF	noREF	AMR
20	0.8774506449699402	eagle_noREF	noREF	AFR
21	0.956470787525177	eagle_noREF	noREF	AMR
22	0.9611111283302308	eagle_noREF	noREF	AMR
23	0.9456241130828856	eagle_noREF	noREF	EUR
24	0.8831548690795898	eagle_noREF	noREF	AFR
25	0.8789569139480591	eagle_noREF	noREF	AFR
0	0.9769474864006042	shapeit_REF	REF	CSA
1	0.9758913516998292	shapeit_REF	REF	CSA
2	0.9657562971115112	shapeit_REF	REF	AFR
3	0.9770408272743224	shapeit_REF	REF	AFR
4	0.9737324118614196	shapeit_REF	REF	AFR
5	0.9701746106147766	shapeit_REF	REF	OC
6	0.9708966612815856	shapeit_REF	REF	OC
7	0.971423864364624	shapeit_REF	REF	OC
8	0.974617838859558	shapeit_REF	REF	OC
9	0.9798678755760192	shapeit_REF	REF	ME
10	0.985742688179016	shapeit_REF	REF	ME
11	0.9895185828208924	shapeit_REF	REF	EUR
12	0.9843005537986756	shapeit_REF	REF	EAS
13	0.986527681350708	shapeit_REF	REF	EAS
14	0.9812434911727904	shapeit_REF	REF	AFR
15	0.9897591471672058	shapeit_REF	REF	AFR
16	0.972783625125885	shapeit_REF	REF	EAS
17	0.9663270711898804	shapeit_REF	REF	EAS
18	0.9896494150161744	shapeit_REF	REF	AMR
19	0.9767284393310548	shapeit_REF	REF	AMR
20	0.9282619953155518	shapeit_REF	REF	AFR
21	0.9889809489250184	shapeit_REF	REF	AMR
22	0.9887067675590516	shapeit_REF	REF	AMR
23	0.9906733632087708	shapeit_REF	REF	EUR
24	0.9581013321876526	shapeit_REF	REF	AFR
25	0.9264395833015442	shapeit_REF	REF	AFR
0	0.9771145582199096	beagle_REF	REF	CSA
1	0.9760708212852478	beagle_REF	REF	CSA
2	0.9652710556983948	beagle_REF	REF	AFR
3	0.9769753813743592	beagle_REF	REF	AFR
4	0.9749541878700256	beagle_REF	REF	AFR
5	0.9736905694007874	beagle_REF	REF	OC
6	0.9702463150024414	beagle_REF	REF	OC
7	0.971836805343628	beagle_REF	REF	OC
8	0.974995255470276	beagle_REF	REF	OC
9	0.9803759455680848	beagle_REF	REF	ME
10	0.9851900935173036	beagle_REF	REF	ME
11	0.989637017250061	beagle_REF	REF	EUR
12	0.9848297834396362	beagle_REF	REF	EAS
13	0.9872267246246338	beagle_REF	REF	EAS
14	0.9803209900856018	beagle_REF	REF	AFR
15	0.9898163676261902	beagle_REF	REF	AFR
16	0.9726596474647522	beagle_REF	REF	EAS
17	0.9650701284408568	beagle_REF	REF	EAS
18	0.990102767944336	beagle_REF	REF	AMR
19	0.976879060268402	beagle_REF	REF	AMR
20	0.9266465902328492	beagle_REF	REF	AFR
21	0.9880431294441224	beagle_REF	REF	AMR
22	0.9900728464126588	beagle_REF	REF	AMR
23	0.9901454448699952	beagle_REF	REF	EUR
24	0.956673800945282	beagle_REF	REF	AFR
25	0.9249321818351746	beagle_REF	REF	AFR
0	0.9447073936462402	beagle_noREF	noREF	CSA
1	0.9364082217216492	beagle_noREF	noREF	CSA
2	0.9031609296798706	beagle_noREF	noREF	AFR
3	0.8956698179244995	beagle_noREF	noREF	AFR
4	0.908674418926239	beagle_noREF	noREF	AFR
5	0.9638700485229492	beagle_noREF	noREF	OC
6	0.9609788060188292	beagle_noREF	noREF	OC
7	0.9565576314926147	beagle_noREF	noREF	OC
8	0.9573504328727722	beagle_noREF	noREF	OC
9	0.9381430149078368	beagle_noREF	noREF	ME
10	0.951978325843811	beagle_noREF	noREF	ME
11	0.944039821624756	beagle_noREF	noREF	EUR
12	0.964191198348999	beagle_noREF	noREF	EAS
13	0.9557701945304872	beagle_noREF	noREF	EAS
14	0.893917977809906	beagle_noREF	noREF	AFR
15	0.9128668904304504	beagle_noREF	noREF	AFR
16	0.9460012316703796	beagle_noREF	noREF	EAS
17	0.947208285331726	beagle_noREF	noREF	EAS
18	0.972348153591156	beagle_noREF	noREF	AMR
19	0.960536241531372	beagle_noREF	noREF	AMR
20	0.8830310702323914	beagle_noREF	noREF	AFR
21	0.9679587483406068	beagle_noREF	noREF	AMR
22	0.9777777791023254	beagle_noREF	noREF	AMR
23	0.9511379599571228	beagle_noREF	noREF	EUR
24	0.8936473727226257	beagle_noREF	noREF	AFR
25	0.8829514384269714	beagle_noREF	noREF	AFR
