Population,UMAP1,UMAP2,SP,Color
British,26.133995,4.191465,EUR,#2E91E5
British,27.026894,4.247738,EUR,#2E91E5
British,25.691332,3.425868,EUR,#2E91E5
British,26.760029,4.4465084,EUR,#2E91E5
British,25.78435,3.7244585,EUR,#2E91E5
British,27.007534,4.003399,EUR,#2E91E5
British,27.082933,4.1267834,EUR,#2E91E5
British,25.518665,3.5034378,EUR,#2E91E5
British,25.3027,3.6419945,EUR,#2E91E5
British,26.72787,3.2078066,EUR,#2E91E5
British,26.549797,2.817942,EUR,#2E91E5
British,25.452065,3.5272813,EUR,#2E91E5
British,25.992052,2.5777392,EUR,#2E91E5
British,27.239964,4.0401416,EUR,#2E91E5
British,27.015408,4.0521717,EUR,#2E91E5
British,26.043383,3.8455477,EUR,#2E91E5
British,26.943913,3.781549,EUR,#2E91E5
British,26.60707,3.7353659,EUR,#2E91E5
British,27.229462,4.1121287,EUR,#2E91E5
British,26.911766,4.428312,EUR,#2E91E5
British,25.66361,3.2955084,EUR,#2E91E5
British,27.026546,4.4399753,EUR,#2E91E5
British,27.207346,4.2126074,EUR,#2E91E5
British,27.062479,4.34296,EUR,#2E91E5
British,26.782015,3.138285,EUR,#2E91E5
British,26.610258,2.8364024,EUR,#2E91E5
British,26.265997,2.9645023,EUR,#2E91E5
British,25.66419,3.280459,EUR,#2E91E5
British,27.331152,3.4543908,EUR,#2E91E5
British,27.376562,4.1978097,EUR,#2E91E5
British,27.008846,3.1875324,EUR,#2E91E5
British,26.407743,3.2307706,EUR,#2E91E5
British,27.260475,3.9978151,EUR,#2E91E5
British,26.96575,3.6199076,EUR,#2E91E5
British,26.321926,4.0888205,EUR,#2E91E5
British,27.682335,3.8786845,EUR,#2E91E5
British,25.37605,3.6227775,EUR,#2E91E5
British,25.826714,2.6273417,EUR,#2E91E5
British,26.642338,2.6319017,EUR,#2E91E5
British,26.15198,4.0848646,EUR,#2E91E5
British,27.22671,3.4936903,EUR,#2E91E5
British,27.557922,4.058537,EUR,#2E91E5
British,27.435684,4.029839,EUR,#2E91E5
British,26.217823,2.4399369,EUR,#2E91E5
British,26.245695,4.210866,EUR,#2E91E5
British,26.513435,4.1129785,EUR,#2E91E5
British,27.032486,3.6539395,EUR,#2E91E5
British,26.180426,2.8817766,EUR,#2E91E5
British,26.54983,4.194901,EUR,#2E91E5
British,26.15253,3.1140127,EUR,#2E91E5
British,26.021027,3.8632474,EUR,#2E91E5
British,27.594578,3.7693214,EUR,#2E91E5
British,27.617397,3.671299,EUR,#2E91E5
British,27.449345,3.77616,EUR,#2E91E5
British,27.376913,3.566591,EUR,#2E91E5
British,27.497496,3.995193,EUR,#2E91E5
British,25.568083,3.8007503,EUR,#2E91E5
British,26.094812,2.3853326,EUR,#2E91E5
British,27.449894,3.4525795,EUR,#2E91E5
British,26.34091,4.4480705,EUR,#2E91E5
British,26.744188,2.9545012,EUR,#2E91E5
British,26.089907,4.1567087,EUR,#2E91E5
British,25.993507,3.7101102,EUR,#2E91E5
British,26.85759,3.7463272,EUR,#2E91E5
British,26.089329,2.6802418,EUR,#2E91E5
British,26.253538,2.9183695,EUR,#2E91E5
British,25.621674,3.6208208,EUR,#2E91E5
British,26.667978,3.072809,EUR,#2E91E5
British,26.481827,2.857424,EUR,#2E91E5
British,25.99283,2.3828428,EUR,#2E91E5
British,27.016102,3.4823287,EUR,#2E91E5
British,25.32184,3.672825,EUR,#2E91E5
British,27.511423,3.5210924,EUR,#2E91E5
British,26.191357,4.3718195,EUR,#2E91E5
British,27.382883,3.7952576,EUR,#2E91E5
British,26.633965,2.7405872,EUR,#2E91E5
British,26.2391,2.3427415,EUR,#2E91E5
British,26.542503,4.0663595,EUR,#2E91E5
British,27.498253,3.910356,EUR,#2E91E5
British,26.47868,3.2649767,EUR,#2E91E5
British,26.124214,2.5738087,EUR,#2E91E5
British,26.691294,3.7308674,EUR,#2E91E5
British,26.165482,3.4729075,EUR,#2E91E5
British,26.104507,3.9824624,EUR,#2E91E5
