"trainer/global_step","phase_reshape_10k_resumed - _step","phase_reshape_10k_resumed - _step__MIN","phase_reshape_10k_resumed - _step__MAX","phase_reshape_10k_resumed - val/acc_epoch","phase_reshape_10k_resumed - val/acc_epoch__MIN","phase_reshape_10k_resumed - val/acc_epoch__MAX","phase_reshape_1M - _step","phase_reshape_1M - _step__MIN","phase_reshape_1M - _step__MAX","phase_reshape_1M - val/acc_epoch","phase_reshape_1M - val/acc_epoch__MIN","phase_reshape_1M - val/acc_epoch__MAX","phase_reshape_10k - _step","phase_reshape_10k - _step__MIN","phase_reshape_10k - _step__MAX","phase_reshape_10k - val/acc_epoch","phase_reshape_10k - val/acc_epoch__MIN","phase_reshape_10k - val/acc_epoch__MAX","phase_train500kids - _step","phase_train500kids - _step__MIN","phase_train500kids - _step__MAX","phase_train500kids - val/acc_epoch","phase_train500kids - val/acc_epoch__MIN","phase_train500kids - val/acc_epoch__MAX","phase_train2402 - _step","phase_train2402 - _step__MIN","phase_train2402 - _step__MAX","phase_train2402 - val/acc_epoch","phase_train2402 - val/acc_epoch__MIN","phase_train2402 - val/acc_epoch__MAX"
"1","","","","","","","","","","","","","","","","","","","13","13","13","0.27330511808395386","0.27330511808395386","0.27330511808395386","","","","","",""
"3","","","","","","","","","","","","","","","","","","","27","27","27","0.5307874083518982","0.5307874083518982","0.5307874083518982","","","","","",""
"4","","","","","","","","","","","","","","","","","","","42","42","42","0.6523195505142212","0.6523195505142212","0.6523195505142212","","","","","",""
"6","","","","","","","","","","","","","","","","","","","56","56","56","0.6994547247886658","0.6994547247886658","0.6994547247886658","","","","","",""
"7","","","","","","","13","13","13","0.6997981667518616","0.6997981667518616","0.6997981667518616","","","","","","","71","71","71","0.707019567489624","0.707019567489624","0.707019567489624","","","","","",""
"9","","","","","","","","","","","","","19","19","19","0.7055876851081848","0.7055876851081848","0.7055876851081848","99","99","99","0.7188506722450256","0.7188506722450256","0.7188506722450256","19","19","19","0.7049987316131592","0.7049987316131592","0.7049987316131592"
"10","","","","","","","","","","","","","","","","","","","132","132","132","0.7348597049713135","0.7348597049713135","0.7348597049713135","","","","","",""
"12","","","","","","","","","","","","","","","","","","","146","146","146","0.7472357153892517","0.7472357153892517","0.7472357153892517","","","","","",""
"13","","","","","","","","","","","","","","","","","","","161","161","161","0.7527661919593811","0.7527661919593811","0.7527661919593811","","","","","",""
"15","","","","","","","44","44","44","0.7446310520172119","0.7446310520172119","0.7446310520172119","","","","","","","175","175","175","0.7539589405059814","0.7539589405059814","0.7539589405059814","","","","","",""
"16","","","","","","","","","","","","","","","","","","","190","190","190","0.7541379928588867","0.7541379928588867","0.7541379928588867","","","","","",""
"18","","","","","","","","","","","","","44","44","44","0.7533258199691772","0.7533258199691772","0.7533258199691772","204","204","204","0.7541394829750061","0.7541394829750061","0.7541394829750061","44","44","44","0.7532461881637573","0.7532461881637573","0.7532461881637573"
