"trainer/global_step","phase_reshape_10k_resumed - _step","phase_reshape_10k_resumed - _step__MIN","phase_reshape_10k_resumed - _step__MAX","phase_reshape_10k_resumed - val/loss_epoch","phase_reshape_10k_resumed - val/loss_epoch__MIN","phase_reshape_10k_resumed - val/loss_epoch__MAX","phase_reshape_1M - _step","phase_reshape_1M - _step__MIN","phase_reshape_1M - _step__MAX","phase_reshape_1M - val/loss_epoch","phase_reshape_1M - val/loss_epoch__MIN","phase_reshape_1M - val/loss_epoch__MAX","phase_reshape_10k - _step","phase_reshape_10k - _step__MIN","phase_reshape_10k - _step__MAX","phase_reshape_10k - val/loss_epoch","phase_reshape_10k - val/loss_epoch__MIN","phase_reshape_10k - val/loss_epoch__MAX","phase_train500kids - _step","phase_train500kids - _step__MIN","phase_train500kids - _step__MAX","phase_train500kids - val/loss_epoch","phase_train500kids - val/loss_epoch__MIN","phase_train500kids - val/loss_epoch__MAX","phase_train2402 - _step","phase_train2402 - _step__MIN","phase_train2402 - _step__MAX","phase_train2402 - val/loss_epoch","phase_train2402 - val/loss_epoch__MIN","phase_train2402 - val/loss_epoch__MAX"
"1","","","","","","","","","","","","","","","","","","","13","13","13","3.267878532409668","3.267878532409668","3.267878532409668","","","","","",""
"3","","","","","","","","","","","","","","","","","","","27","27","27","1.218900203704834","1.218900203704834","1.218900203704834","","","","","",""
"4","","","","","","","","","","","","","","","","","","","42","42","42","0.8721829652786255","0.8721829652786255","0.8721829652786255","","","","","",""
"6","","","","","","","","","","","","","","","","","","","56","56","56","0.7394831776618958","0.7394831776618958","0.7394831776618958","","","","","",""
"7","","","","","","","13","13","13","0.7410231232643127","0.7410231232643127","0.7410231232643127","","","","","","","71","71","71","0.6828425526618958","0.6828425526618958","0.6828425526618958","","","","","",""
"9","","","","","","","","","","","","","19","19","19","0.6832932829856873","0.6832932829856873","0.6832932829856873","99","99","99","0.6627103090286255","0.6627103090286255","0.6627103090286255","19","19","19","0.683180570602417","0.683180570602417","0.683180570602417"
"10","","","","","","","","","","","","","","","","","","","132","132","132","0.6412259340286255","0.6412259340286255","0.6412259340286255","","","","","",""
"12","","","","","","","","","","","","","","","","","","","146","146","146","0.6198167204856873","0.6198167204856873","0.6198167204856873","","","","","",""
"13","","","","","","","","","","","","","","","","","","","161","161","161","0.6042668223381042","0.6042668223381042","0.6042668223381042","","","","","",""
"15","","","","","","","44","44","44","0.6223707795143127","0.6223707795143127","0.6223707795143127","","","","","","","175","175","175","0.5931490659713745","0.5931490659713745","0.5931490659713745","","","","","",""
"16","","","","","","","","","","","","","","","","","","","190","190","190","0.5837965607643127","0.5837965607643127","0.5837965607643127","","","","","",""
"18","","","","","","","","","","","","","44","44","44","0.59765625","0.59765625","0.59765625","204","204","204","0.576171875","0.576171875","0.576171875","44","44","44","0.598069429397583","0.598069429397583","0.598069429397583"
"19","","","","","","","","","","","","","","","","","","","234","234","234","0.569749116897583","0.569749116897583","0.569749116897583","","","","","",""
"21","","","","","","","","","","","","","","","","","","","250","250","250","0.5650916695594788","0.5650916695594788","0.5650916695594788","","","","","",""
"22","","","","","","","","","","","","","","","","","","","265","265","265","0.5608848929405212","0.5608848929405212","0.5608848929405212","","","","","",""
"23","","","","","","","75","75","75","0.5765098929405212","0.5765098929405212","0.5765098929405212","","","","","","","","","","","","","","","","","",""
